,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
0,0,AU,YADY,Adaminaby Airport,S35.59.90',E148.47.80',-35.98333333,148.7833333, Public,,,,,,,,,No,https://www.getmetar.com/YADY
1,1,AU,YPAD,Adelaide Airport,S34.56.70',E138.31.83',-34.93333333,138.5166667, Public,10171 x 148feet,Hard,5420 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/YPAD
2,2,AU,YPPF,Adelaide Parafield Airport,S34.47.60',E138.37.98',-34.78333333,138.6166667, Public,4429 x 59feet,Hard,4196 x 98feet,Unknown,3255 x 59feet,Unknown,3143 x 59feet,Unknown,Yes,https://www.getmetar.com/YPPF
3,3,AU,YABA,Albany Airport,S34.56.60',E117.48.53',-34.93333333,117.8, Public,5906 x 98feet,Hard,3596 x 98feet,Unknown,,,,,Yes,https://www.getmetar.com/YABA
4,4,AU,YMAY,Albury Airport,S36.4.07',E146.57.48',-36.06666667,146.95, Public,6234 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/YMAY
5,5,AU,YADG,Aldinga Airport,S35.17.30',E138.29.60',-35.28333333,138.4833333,Private,,,,,,,,,No,https://www.getmetar.com/YADG
6,6,AU,YBAS,Alice Springs Airport,S23.48.50',E133.54.05',-23.8,133.9, Public,8005 x 148feet,Hard,3717 x 60feet,Unknown,,,,,Yes,https://www.getmetar.com/YBAS
7,7,AU,YAPH,Alpha Airport,S23.38.77',E146.35.02',-23.63333333,146.58333330000005, Public,4777 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/YAPH
8,8,AU,YAMT,Amata Airport,S26.5.80',E131.12.20',-26.08333333,131.2, Public,,,,,,,,,No,https://www.getmetar.com/YAMT
9,9,AU,YAMB,Amberley Airport,S27.38.43',E152.42.72',-27.63333333,152.7,Military,10000 x 150feet,Hard,4997 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/YAMB
10,10,AU,YAMK,Andamooka Airport,S30.26.30',E137.8.20',-30.43333333,137.1333333,Private,,,,,,,,,No,https://www.getmetar.com/YAMK
11,11,AU,YANK,Anna Creek Airport,S28.53.80',E136.10.20',-28.88333333,136.16666669999998,Private,,,,,,,,,No,https://www.getmetar.com/YANK
12,12,AU,YAMC,Aramac Airport,S22.57.98',E145.15.17',-22.95,145.25, Public,,,,,,,,,No,https://www.getmetar.com/YAMC
13,13,AU,YARA,Ararat Airport,S37.18.57',E142.59.32',-37.3,142.9833333, Public,4068 x 60feet,Hard,2165 x 98feet,Unknown,,,,,Yes,https://www.getmetar.com/YARA
14,14,AU,YARS,Ardrossan Airport,S34.26.50',E137.53.00',-34.43333333,137.8833333,Private,,,,,,,,,No,https://www.getmetar.com/YARS
15,15,AU,YARG,Argyle Airport,S16.38.22',E128.27.08',-16.63333333,128.45, Public,7546 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/YARG
16,16,AU,YARK,Arkaroola Airport,S30.24.38',E139.20.80',-30.4,139.33333330000002,Private,,,,,,,,,No,https://www.getmetar.com/YARK
17,17,AU,YARM,Armidale Airport,S30.31.68',E151.37.03',-30.51666667,151.6166667, Public,5702 x 98feet,Hard,3661 x 98feet,Unknown,,,,,Yes,https://www.getmetar.com/YARM
18,18,AU,YARY,Arraabury Airport,S26.41.40',E141.2.80',-26.68333333,141.0333333,Private,,,,,,,,,No,https://www.getmetar.com/YARY
19,19,AU,YATN,Atherton Airport,S17.15.70',E145.30.90',-17.25,145.5, Public,,,,,,,,,No,https://www.getmetar.com/YATN
20,20,AU,YAUG,Augusta Airport,S34.19.80',E115.9.40',-34.31666667,115.15, Public,,,,,,,,,No,https://www.getmetar.com/YAUG
21,21,AU,YAGD,Augustus Downs Airport,S18.30.93',E139.52.72',-18.5,139.8666667,Private,,,,,,,,,No,https://www.getmetar.com/YAGD
22,22,AU,YAUR,Aurukun Airport,S13.21.23',E141.43.25',-13.35,141.7166667, Public,4140 x 98feet,Soft,,,,,,,No,https://www.getmetar.com/YAUR
23,23,AU,YMAV,Avalon Airport,S38.2.37',E144.28.17',-38.03333333,144.4666667, Public,10000 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/YMAV
24,24,AU,YAYE,Ayers Rock Connellan Airport,S25.11.17',E130.58.53',-25.18333333,130.96666670000002, Public,8527 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/YAYE
