,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
0,CN,ZBOW,Baotou Donghe Airport,N40.33.50',E110.0.00',40.55,110.0, Public,,,,,,,,,https://www.getmetar.com/ZBOW
1,CN,RCMT,Beigan Airport,N26.13.45',E120.0.17',26.216666666666665,120.0, Public,3773 x 98feet,Hard,,,,,,,https://www.getmetar.com/RCMT
2,CN,ZBAA,Beijing Capital Airport,N40.4.40',E116.35.90',40.06666666666667,116.58333333333331, Public,12467 x 197feet,Hard,12467 x 197feet,Unknown,10499 x 164feet,Unknown,,,https://www.getmetar.com/ZBAA
3,CN,ZBAD,Beijing Daxing Airport,N39.30.00',E116.24.00',39.5,116.4, Public,,,,,,,,,https://www.getmetar.com/ZBAD
4,CN,ZYCC,Changchun Longjia Airport,N43.59.90',E125.41.30',43.98333333333333,125.68333333333334, Public,10499 x 164feet,Hard,,,,,,,https://www.getmetar.com/ZYCC
5,CN,ZGCD,Changde Airport,N28.55.20',E111.38.30',28.91666666666667,111.63333333333334, Public,,,,,,,,,https://www.getmetar.com/ZGCD
6,CN,ZGHA,Changsha Huanghua Airport,N28.11.40',E113.13.10',28.18333333333333,113.21666666666668, Public,10499 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZGHA
7,CN,ZSCG,Changzhou Benniu Airport,N31.55.10',E119.46.60',31.91666666666667,119.76666666666668, Public,,,,,,,,,https://www.getmetar.com/ZSCG
8,CN,ZUUU,Chengdu Shuangliu Airport,N30.34.80',E103.56.90',30.566666666666666,103.93333333333334, Public,11811 x 197feet,Hard,11811 x 148feet,Unknown,,,,,https://www.getmetar.com/ZUUU
9,CN,ZUTF,Chengdu Tianfu Airport,N30.17.40',E104.26.60',30.28333333333333,104.43333333333334, Public,,,,,,,,,https://www.getmetar.com/ZUTF
10,CN,ZUCK,Chongqing Jiangbei Airport,N29.43.20',E106.38.40',29.716666666666665,106.63333333333334, Public,11811 x 148feet,Hard,10499 x 148feet,Unknown,,,,,https://www.getmetar.com/ZUCK
11,CN,ZYTL,Dalian Zhoushuizi Airport,N38.58.00',E121.32.40',38.96666666666667,121.53333333333332, Public,10827 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZYTL
