,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
0,DE,ETOR,Coleman AAF Airport,N49.33.81',E8.27.80',49.55,8.45,Military,3004 x 75feet,Hard,,,,,,,https://www.getmetar.com/ETOR
1,DE,ETIE,Heidelberg AAF Airport,N49.23.58',E8.39.25',49.38333333333333,8.65,Military,,,,,,,,,https://www.getmetar.com/ETIE
2,DE,ETHN,Niederstetten Airport,N49.23.51',E9.57.49',49.38333333333333,9.95,Military,4305 x 98feet,Hard,,,,,,,https://www.getmetar.com/ETHN
3,DE,ETHL,Laupheim Airport,N48.13.21',E9.54.61',48.21666666666667,9.9,Military,5400 x 98feet,Hard,1969 x 164feet,Unknown,,,,,https://www.getmetar.com/ETHL
4,DE,EDTZ,Konstanz Airport,N47.40.65',E9.8.45',47.666666666666664,9.133333333333333, Public,,,,,,,,,https://www.getmetar.com/EDTZ
5,DE,EDTY,Schwaebisch Hall Airport,N49.7.10',E9.47.04',49.11666666666667,9.783333333333333, Public,5052 x 98feet,Hard,2460 x 98feet,Unknown,,,,,https://www.getmetar.com/EDTY
6,DE,EDTX,Schwabisch Hall Weckrieden Airport,N49.7.45',E9.46.87',49.11666666666667,9.766666666666667, Public,,,,,,,,,https://www.getmetar.com/EDTX
7,DE,EDTW,Winzeln Schramberg Airport,N48.16.77',E8.25.74',48.266666666666666,8.416666666666666, Public,,,,,,,,,https://www.getmetar.com/EDTW
8,DE,EDTU,Saulgau Airport,N48.1.76',E9.30.44',48.016666666666666,9.5, Public,,,,,,,,,https://www.getmetar.com/EDTU
9,DE,EDTS,Schwenningen Am Neckar Airport,N48.3.94',E8.34.28',48.05,8.566666666666666, Public,,,,,,,,,https://www.getmetar.com/EDTS
10,DE,EDTR,Herten Rheinfelden Airport,N47.33.60',E7.44.90',47.55,7.733333333333333, Public,2394 x 98feet,Soft,,,,,,,https://www.getmetar.com/EDTR
11,DE,EDTP,Pfullendorf Airport,N47.54.51',E9.15.10',47.9,9.25, Public,,,,,,,,,https://www.getmetar.com/EDTP
12,DE,EDTO,Offenburg Baden Airport,N48.27.05',E7.55.53',48.45,7.916666666666667, Public,,,,,,,,,https://www.getmetar.com/EDTO
13,DE,EDTN,Nabern Teck Airport,N48.36.82',E9.28.70',48.6,9.466666666666667, Public,,,,,,,,,https://www.getmetar.com/EDTN
14,DE,EDTM,Mengen Hohentengen Airport,N48.3.23',E9.22.37',48.05,9.366666666666667, Public,5138 x 98feet,Hard,,,,,,,https://www.getmetar.com/EDTM
15,DE,EDTL,Lahr Airport,N48.22.16',E7.49.66',48.36666666666667,7.816666666666666,Military,9842 x 148feet,Hard,,,,,,,https://www.getmetar.com/EDTL
16,DE,EDTK,Sinsheim Airport,N49.14.15',E8.53.11',49.233333333333334,8.883333333333333, Public,,,,,,,,,https://www.getmetar.com/EDTK
17,DE,EDTH,Heubach Airport,N48.48.14',E9.55.65',48.8,9.916666666666666, Public,2460 x 65feet,Hard,,,,,,,https://www.getmetar.com/EDTH
18,DE,EDTG,Bremgarten Airport,N47.54.19',E7.37.07',47.9,7.616666666666667, Public,5414 x 148feet,Hard,,,,,,,https://www.getmetar.com/EDTG
19,DE,EDTF,Freiburg Im Breisgau Airport,N48.1.23',E7.50.02',48.016666666666666,7.833333333333333, Public,4068 x 98feet,Hard,,,,,,,https://www.getmetar.com/EDTF
20,DE,EDTE,Eutingen Im Gaeu Airport,N48.29.13',E8.46.69',48.483333333333334,8.766666666666667, Public,,,,,,,,,https://www.getmetar.com/EDTE
21,DE,EDTD,Donaueschingen Airport,N47.58.41',E8.31.33',47.96666666666667,8.516666666666667, Public,4232 x 98feet,Hard,,,,,,,https://www.getmetar.com/EDTD
22,DE,EDTC,Bruchsal Airport,N49.8.10',E8.33.81',49.13333333333333,8.55, Public,1640 x 98feet,Soft,,,,,,,https://www.getmetar.com/EDTC
23,DE,EDTB,Baden Oos Airport,N48.47.48',E8.11.23',48.78333333333333,8.183333333333334, Public,3937 x 98feet,Unknown,,,,,,,https://www.getmetar.com/EDTB
24,DE,EDSZ,Rottweil Zepfenhan Airport,N48.11.19',E8.43.27',48.18333333333333,8.716666666666667, Public,,,,,,,,,https://www.getmetar.com/EDSZ
25,DE,EDSW,Altdorf Wallburg Airport,N48.16.19',E7.50.53',48.266666666666666,7.833333333333333, Public,2755 x 98feet,Soft,,,,,,,https://www.getmetar.com/EDSW
26,DE,EDSV,Wachtersberg Airport,N48.36.91',E8.45.34',48.6,8.75, Public,,,,,,,,,https://www.getmetar.com/EDSV
27,DE,EDSR,Radolfzell Stahringen Airport,N47.48.16',E8.58.78',47.8,8.966666666666667, Public,,,,,,,,,https://www.getmetar.com/EDSR
28,DE,EDSO,Grubingen Nortel Airport,N48.37.27',E9.39.35',48.61666666666667,9.65, Public,,,,,,,,,https://www.getmetar.com/EDSO
29,DE,EDSN,Neuhausen Ob Eck Airport,N47.58.61',E8.54.31',47.96666666666667,8.9, Public,4095 x 98feet,Hard,,,,,,,https://www.getmetar.com/EDSN
30,DE,EDSL,Blumberg Airport,N47.50.70',E8.33.94',47.833333333333336,8.55, Public,2558 x 98feet,Soft,,,,,,,https://www.getmetar.com/EDSL
31,DE,EDSK,Kehl Sundheim Airport,N48.33.52',E7.51.02',48.55,7.85, Public,,,,,,,,,https://www.getmetar.com/EDSK
32,DE,EDSI,Binningen Airport,N47.47.95',E8.43.23',47.78333333333333,8.716666666666667, Public,2821 x 98feet,Soft,,,,,,,https://www.getmetar.com/EDSI
33,DE,EDSH,Backnang Heininggen Airport,N48.55.19',E9.27.32',48.916666666666664,9.45, Public,1640 x 98feet,Soft,,,,,,,https://www.getmetar.com/EDSH
34,DE,EDSG,Grabenstetten Airport,N48.32.17',E9.26.22',48.53333333333333,9.433333333333334, Public,3608 x 98feet,Soft,,,,,,,https://www.getmetar.com/EDSG
