,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
0,0,IN,VAAV,Aamby Valley Airport,N18.36.56',E73.22.69',18.6,73.36666666666666,Private,,,,,,,,,No,https://www.getmetar.com/VAAV
1,1,IN,VIAX,Adampur Airport,N31.26.03',E75.45.53',31.43333333333333,75.75, Public,9039 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIAX
2,2,IN,VEAT,Agartala Airport,N23.53.44',E91.14.36',23.88333333333333,91.23333333333332, Public,7500 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEAT
3,3,IN,VOAT,Agatti Airport,N10.49.45',E72.10.60',10.816666666666665,72.16666666666667, Public,,,,,,,,,No,https://www.getmetar.com/VOAT
4,4,IN,VIAG,Agra AB Airport,N27.9.35',E77.57.65',27.15,77.95,Military,9000 x 150feet,Hard,5964 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/VIAG
5,5,IN,VAAK,Akola Airport,N20.41.87',E77.3.53',20.683333333333334,77.05, Public,4000 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAAK
6,6,IN,VEAB,Allahabad Airport,N25.26.43',E81.44.13',25.43333333333333,81.73333333333333, Public,,,,,,,,,No,https://www.getmetar.com/VEAB
7,7,IN,VIAM,Ambala Airport,N30.22.09',E76.49.00',30.36666666666667,76.81666666666666,Military,9224 x 150feet,Hard,7952 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/VIAM
8,8,IN,VEAL,Angul Airport,N20.54.72',E85.1.95',20.9,85.01666666666667, Public,,,,,,,,,No,https://www.getmetar.com/VEAL
9,9,IN,VOAR,Arkonam Airport,N13.4.27',E79.41.47',13.066666666666665,79.68333333333334, Public,13460 x 155feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOAR
10,10,IN,VAAU,Aurangabad Airport,N19.51.86',E75.23.85',19.85,75.38333333333334, Public,7500 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAAU
11,11,IN,VEBD,Bagdogra International Airport,N26.41.12',E88.19.63',26.68333333333333,88.31666666666666, Public,9035 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEBD
12,12,IN,VEBG,Balurghat Airport,N25.15.78',E88.47.90',25.25,88.78333333333332, Public,,,,,,,,,No,https://www.getmetar.com/VEBG
13,13,IN,VEBI,Barapani Airport,N25.42.20',E91.58.68',25.7,91.96666666666668, Public,5377 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEBI
14,14,IN,VIBY,Bareilly Airport,N28.25.00',E79.27.00',28.41666666666667,79.45, Public,9000 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIBY
