,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
0,ID,WITT,Sultan Iskandar Muda Airport,N5.31.02',E95.25.20',5.516666666666667,95.41666666666667, Public,9843 x 148feet,Hard,,,,,,,https://www.getmetar.com/WITT
1,ID,WITN,Sabang Maimun Saleh Airport,N5.52.58',E95.20.25',5.866666666666667,95.33333333333333, Public,6050 x 98feet,Hard,,,,,,,https://www.getmetar.com/WITN
2,ID,WITL,Airport Point A Lhoksukon Airport,N5.4.38',E97.15.32',5.066666666666666,97.25, Public,3675 x 69feet,Hard,,,,,,,https://www.getmetar.com/WITL
3,ID,WITK,Rembele Takengon Airport,N4.43.37',E96.51.18',4.716666666666667,96.85, Public,,,,,,,,,https://www.getmetar.com/WITK
4,ID,WITC,Cut Nyak Dien Airport,N4.2.88',E96.15.00',4.033333333333333,96.25, Public,,,,,,,,,https://www.getmetar.com/WITC
5,ID,WITA,Tapak Tuan Airport,N3.10.25',E97.17.33',3.1666666666666665,97.28333333333333, Public,,,,,,,,,https://www.getmetar.com/WITA
6,ID,WIMU,Kuta Cane Alas Lauser Airport,N3.23.23',E97.52.17',3.3833333333333333,97.86666666666666, Public,,,,,,,,,https://www.getmetar.com/WIMU
7,ID,WIMT,Teuku Cut Ali Airport,N3.10.25',E97.17.32',3.1666666666666665,97.28333333333333, Public,,,,,,,,,https://www.getmetar.com/WIMT
8,ID,WIML,Sinabang Lasikin Airport,N2.24.53',E96.19.57',2.4,96.31666666666666, Public,,,,,,,,,https://www.getmetar.com/WIML
9,ID,WIMA,Malikussaleh Airport,N5.13.73',E96.57.08',5.216666666666667,96.95, Public,,,,,,,,,https://www.getmetar.com/WIMA
10,ID,WADE,Letkol Wisnu Airport,S8.8.42',E114.37.30',-8.133333333333333,114.61666666666666, Public,,,,,,,,,https://www.getmetar.com/WADE
11,ID,WADD,I Gusti Ngurah Rai Airport,S8.44.85',E115.10.15',-8.733333333333333,115.16666666666667, Public,9843 x 148feet,Hard,,,,,,,https://www.getmetar.com/WADD
12,ID,WIKT,,,,0,0,,,,,,,,,,https://www.getmetar.com/WIKT
13,ID,WIKK,Depati Amir Airport,S2.9.75',E106.8.29',-2.15,106.13333333333334,Military,,,,,,,,,https://www.getmetar.com/WIKK
14,ID,WIRR,Tangerang Budiarto Airport,S6.17.60',E106.34.08',-6.283333333333333,106.56666666666666, Public,,,,,,,,,https://www.getmetar.com/WIRR
