,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
0,IT,LILA,Alessandria Airport,N44.55.50',E8.37.52',44.91666666666666,8.616666666666667, Public,,,,,,,,,https://www.getmetar.com/LILA
1,IT,LIEA,Alghero Fertilia Airport,N40.37.87',E8.17.32',40.61666666666667,8.283333333333333, Public,9843 x 148feet,Hard,,,,,,,https://www.getmetar.com/LIEA
2,IT,LILB,Alzate Brianza Airport,N45.46.20',E9.9.65',45.76666666666666,9.15, Public,,,,,,,,,https://www.getmetar.com/LILB
3,IT,LIBA,Amendola Airport,N41.32.37',E15.42.83',41.53333333333333,15.7,Military,8727 x 144feet,Hard,,,,,,,https://www.getmetar.com/LIBA
4,IT,LIPY,Ancona Falconara Airport,N43.37.00',E13.21.62',43.61666666666667,13.35, Public,9728 x 148feet,Hard,,,,,,,https://www.getmetar.com/LIPY
5,IT,LIMW,Aosta Airport,N45.44.30',E7.22.05',45.73333333333333,7.366666666666666, Public,4913 x 98feet,Hard,,,,,,,https://www.getmetar.com/LIMW
6,IT,LIAQ,Aquino Airport,N41.29.17',E13.43.12',41.48333333333333,13.716666666666667, Public,,,,,,,,,https://www.getmetar.com/LIAQ
7,IT,LIQB,Arezzo Airport,N43.27.35',E11.50.82',43.45,11.833333333333336, Public,,,,,,,,,https://www.getmetar.com/LIQB
8,IT,LIDA,Asiago Airport,N45.53.27',E11.31.00',45.88333333333333,11.516666666666667, Public,3675 x 75feet,Hard,,,,,,,https://www.getmetar.com/LIDA
9,IT,LIPA,Aviano Airport,N46.1.80',E12.35.93',46.01666666666666,12.583333333333336,Military,8583 x 148feet,Hard,,,,,,,https://www.getmetar.com/LIPA
10,IT,LIBD,Bari Palese Airport,N41.8.28',E16.45.90',41.13333333333333,16.75, Public,9252 x 148feet,Hard,,,,,,,https://www.getmetar.com/LIBD
11,IT,LIDB,Belluno Airport,N46.10.03',E12.14.87',46.16666666666666,12.233333333333333, Public,,,,,,,,,https://www.getmetar.com/LIDB
12,IT,LILS,Bergamo Clusone Airport,N45.53.03',E9.57.98',45.88333333333333,9.95, Public,,,,,,,,,https://www.getmetar.com/LILS
13,IT,LIME,Bergamo Orio Al Serio Airport,N45.40.13',E9.42.02',45.66666666666666,9.7, Public,9636 x 148feet,Hard,2552 x 59feet,Unknown,,,,,https://www.getmetar.com/LIME
14,IT,LILE,Biella Cerrione Airport,N45.29.75',E8.6.15',45.48333333333333,8.1,Private,4331 x 98feet,Hard,,,,,,,https://www.getmetar.com/LILE
