,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
0,JP,RORA,Aguni Airport,N26.35.57',E127.14.42',26.58333333333333,127.23333333333332, Public,2625 x 82feet,Hard,,,,,,,https://www.getmetar.com/RORA
1,JP,RJOE,Akeno Airport,N34.32.00',E136.40.33',34.53333333333333,136.66666666666666,Military,,,,,,,,,https://www.getmetar.com/RJOE
2,JP,RJSK,Akita Airport,N39.36.93',E140.13.12',39.6,140.21666666666667, Public,8200 x 197feet,Hard,,,,,,,https://www.getmetar.com/RJSK
3,JP,RJDA,Amakusa Airport,N32.28.93',E130.9.53',32.46666666666667,130.15, Public,3281 x 98feet,Hard,,,,,,,https://www.getmetar.com/RJDA
4,JP,RJKA,Amami Airport,N28.25.85',E129.42.75',28.41666666666667,129.7, Public,6560 x 150feet,Hard,,,,,,,https://www.getmetar.com/RJKA
5,JP,RJSA,Aomori Airport,N40.44.00',E140.41.32',40.73333333333333,140.68333333333334, Public,9843 x 197feet,Hard,,,,,,,https://www.getmetar.com/RJSA
6,JP,RJEC,Asahikawa Airport,N43.40.25',E142.26.85',43.66666666666666,142.43333333333334, Public,8202 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJEC
7,JP,RJCA,Asahikawa Mil Airport,N43.47.67',E142.21.90',43.78333333333333,142.35,Military,,,,,,,,,https://www.getmetar.com/RJCA
8,JP,RJFA,Ashiya Airport,N33.52.88',E130.39.10',33.86666666666667,130.65,Military,5380 x 164feet,Hard,,,,,,,https://www.getmetar.com/RJFA
9,JP,RJTA,Atsugi Airport,N35.27.28',E139.27.01',35.45,139.45,Military,8000 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJTA
10,JP,RJCJ,Chitose Airport,N42.47.67',E141.39.98',42.78333333333333,141.65, Public,13120 x 197feet,Hard,8860 x 148feet,Unknown,,,,,https://www.getmetar.com/RJCJ
11,JP,RJTF,Chofu Airport,N35.40.30',E139.31.68',35.666666666666664,139.51666666666668, Public,2625 x 98feet,Hard,,,,,,,https://www.getmetar.com/RJTF
12,JP,RJGG,Chubu Centrair Airport,N34.51.50',E136.48.32',34.85,136.8, Public,11483 x 197feet,Hard,,,,,,,https://www.getmetar.com/RJGG
13,JP,RJFE,Fukue Airport,N32.39.98',E128.49.97',32.65,128.81666666666666, Public,6562 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJFE
14,JP,RJNF,Fukui Airport,N36.8.57',E136.13.43',36.13333333333333,136.21666666666667, Public,3937 x 98feet,Hard,,,,,,,https://www.getmetar.com/RJNF
15,JP,RJFF,Fukuoka Airport,N33.35.07',E130.27.10',33.583333333333336,130.45, Public,9186 x 197feet,Hard,,,,,,,https://www.getmetar.com/RJFF
16,JP,RJSF,Fukushima Airport,N37.13.65',E140.25.68',37.21666666666667,140.41666666666666, Public,8202 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJSF
17,JP,ROTM,Futenma Airport,N26.16.24',E127.44.88',26.266666666666666,127.73333333333332, Public,9181 x 150feet,Hard,,,,,,,https://www.getmetar.com/ROTM
18,JP,RJNG,Gifu Airport,N35.23.64',E136.52.18',35.38333333333333,136.86666666666667,Military,8860 x 150feet,Hard,,,,,,,https://www.getmetar.com/RJNG
19,JP,RJTH,Hachijojima Airport,N33.6.90',E139.47.15',33.1,139.78333333333333, Public,6562 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJTH
20,JP,RJSH,Hachinohe Airport,N40.33.12',E141.28.03',40.55,141.46666666666667,Military,7380 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJSH
21,JP,RJCH,Hakodate Airport,N41.46.20',E140.49.32',41.766666666666666,140.81666666666666, Public,9843 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJCH
22,JP,RJNH,Hamamatsu Airport,N34.45.01',E137.42.18',34.75,137.7,Military,8366 x 197feet,Hard,,,,,,,https://www.getmetar.com/RJNH
23,JP,RJSI,Hanamaki Airport,N39.25.72',E141.8.12',39.41666666666666,141.13333333333333, Public,8202 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJSI
24,JP,RORH,Hateruma Airport,N24.3.50',E123.48.23',24.05,123.8, Public,,,,,,,,,https://www.getmetar.com/RORH
25,JP,RJOA,Hiroshima Airport,N34.26.17',E132.55.17',34.43333333333333,132.91666666666666, Public,9843 x 197feet,Hard,,,,,,,https://www.getmetar.com/RJOA
26,JP,RJOF,Hofu Airport,N34.2.07',E131.32.78',34.03333333333333,131.53333333333333,Military,4856 x 148feet,Hard,3871 x 197feet,Unknown,,,,,https://www.getmetar.com/RJOF
27,JP,RJAH,Hyakuri Airport,N36.10.90',E140.24.88',36.16666666666666,140.4, Public,8858 x 148feet,Hard,8858 x 148feet,Unknown,,,,,https://www.getmetar.com/RJAH
28,JP,RODE,Ie Shima Aux AB Airport,N26.43.73',E127.45.71',26.716666666666665,127.75,Military,5517 x 150feet,Soft,,,,,,,https://www.getmetar.com/RODE
29,JP,RORE,Iejima Airport,N26.43.35',E127.47.22',26.716666666666665,127.78333333333332, Public,4961 x 92feet,Hard,4921 x 150feet,Unknown,,,,,https://www.getmetar.com/RORE
30,JP,RJDB,Iki Airport,N33.44.95',E129.47.15',33.73333333333333,129.78333333333333, Public,3937 x 98feet,Hard,,,,,,,https://www.getmetar.com/RJDB
31,JP,RJTJ,Iruma Airport,N35.50.52',E139.24.63',35.833333333333336,139.4,Military,6562 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJTJ
32,JP,RJOI,Iwakuni Airport,N34.8.70',E132.14.82',34.13333333333333,132.23333333333332, Public,8005 x 197feet,Hard,,,,,,,https://www.getmetar.com/RJOI
33,JP,RJOW,Iwami Airport,N34.40.58',E131.47.42',34.666666666666664,131.78333333333333, Public,6562 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJOW
34,JP,RJAW,Iwoto Airport,N24.47.05',E141.19.37',24.78333333333333,141.31666666666666,Military,8700 x 200feet,Hard,,,,,,,https://www.getmetar.com/RJAW
35,JP,RJOC,Izumo Airport,N35.24.82',E132.53.40',35.4,132.88333333333333, Public,6562 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJOC
36,JP,RODN,Kadena Airport,N26.21.34',E127.46.06',26.35,127.76666666666668,Military,12100 x 200feet,Hard,12100 x 299feet,Unknown,,,,,https://www.getmetar.com/RODN
37,JP,RJFK,Kagoshima Airport,N31.48.20',E130.43.17',31.8,130.71666666666667, Public,9843 x 148feet,Hard,,,,,,,https://www.getmetar.com/RJFK
38,JP,RJDK,Kamigoto Airport,N33.0.82',E129.11.55',33.0,129.18333333333334, Public,2625 x 82feet,Hard,,,,,,,https://www.getmetar.com/RJDK
39,JP,RJFY,Kanoya Airport,N31.22.08',E130.50.28',31.36666666666667,130.83333333333334,Military,7382 x 148feet,Hard,3937 x 131feet,Unknown,,,,,https://www.getmetar.com/RJFY
