,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
0,MY,WMKA,Alor Setar Sultan Abdul Halim Airport,N6.11.67',E100.24.05',6.183333333333334,100.4, Public,9369 x 151feet,Hard,,,,,,,https://www.getmetar.com/WMKA
1,MY,WBGQ,Bakelalan Airport,N3.58.48',E115.37.13',3.966666666666667,115.61666666666666, Public,,,,,,,,,https://www.getmetar.com/WBGQ
2,MY,WBGZ,Bario Airport,N3.44.11',E115.28.67',3.733333333333333,115.46666666666668, Public,,,,,,,,,https://www.getmetar.com/WBGZ
3,MY,WBGC,Belaga Airport,N2.38.17',E113.45.63',2.6333333333333333,113.75,Private,,,,,,,,,https://www.getmetar.com/WBGC
4,MY,WBGB,Bintulu Airport,N3.7.45',E113.1.18',3.1166666666666667,113.01666666666668, Public,9006 x 148feet,Hard,,,,,,,https://www.getmetar.com/WBGB
5,MY,WMKB,Butterworth Airport,N5.28.05',E100.23.50',5.466666666666668,100.38333333333334,Military,8000 x 150feet,Hard,,,,,,,https://www.getmetar.com/WMKB
6,MY,WMGK,Gong Kedak Airport,N5.47.93',E102.29.42',5.783333333333332,102.48333333333332, Public,6601 x 150feet,Hard,,,,,,,https://www.getmetar.com/WMGK
7,MY,WMAH,Grik Airport,N5.26.00',E101.7.00',5.433333333333334,101.11666666666666, Public,,,,,,,,,https://www.getmetar.com/WMAH
8,MY,WMKI,Ipoh Sultan Azlan Shah Airport,N4.34.15',E101.5.58',4.566666666666666,101.08333333333331, Public,6562 x 148feet,Hard,,,,,,,https://www.getmetar.com/WMKI
9,MY,WMKJ,Johor Bahru Senai International Airport,N1.38.43',E103.40.22',1.6333333333333333,103.66666666666669, Public,12467 x 148feet,Hard,,,,,,,https://www.getmetar.com/WMKJ
10,MY,WBGP,Kapit Airport,N2.0.58',E112.55.92',2.0,112.91666666666669, Public,,,,,,,,,https://www.getmetar.com/WBGP
11,MY,WBKG,Keningau Airport,N5.21.43',E116.9.55',5.35,116.15,Private,,,,,,,,,https://www.getmetar.com/WBKG
12,MY,WMKE,Kerteh Airport,N4.32.30',E103.25.60',4.533333333333333,103.41666666666669, Public,4469 x 98feet,Hard,,,,,,,https://www.getmetar.com/WMKE
13,MY,WMKK,Kl International Sepang Airport,N2.44.60',E101.41.88',2.7333333333333334,101.68333333333334, Public,13186 x 197feet,Hard,13123 x 197feet,Unknown,,,,,https://www.getmetar.com/WMKK
14,MY,WMAP,Kluang Airport,N2.2.63',E103.18.45',2.033333333333333,103.3, Public,4101 x 121feet,Soft,,,,,,,https://www.getmetar.com/WMAP
15,MY,WBKB,Kota Belud Airport,N6.21.98',E116.27.80',6.35,116.45,Military,,,,,,,,,https://www.getmetar.com/WBKB
16,MY,WMKC,Kota Bharu Sultan Ismail Petra Airport,N6.10.07',E102.17.45',6.166666666666668,102.28333333333332, Public,7874 x 148feet,Hard,,,,,,,https://www.getmetar.com/WMKC
17,MY,WBKK,Kota Kinabalu Airport,N5.55.92',E116.3.02',5.916666666666668,116.05, Public,12402 x 148feet,Hard,,,,,,,https://www.getmetar.com/WBKK
18,MY,WBKU,Kuala Penyu Airport,N5.35.98',E115.34.47',5.583333333333332,115.56666666666666, Public,,,,,,,,,https://www.getmetar.com/WBKU
19,MY,WMKN,Kuala Terengganu Sultan Mahmud Airport,N5.22.87',E103.6.18',5.366666666666666,103.1, Public,11417 x 148feet,Hard,,,,,,,https://www.getmetar.com/WMKN
20,MY,WMKD,Kuantan Airport,N3.46.18',E103.12.56',3.7666666666666666,103.2,Military,9200 x 148feet,Hard,,,,,,,https://www.getmetar.com/WMKD
