,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
0,0,MM,VYAS,Anisakan Airport,N21.57.36',E96.24.38',21.95,96.4, Public,10000 x 200feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYAS
1,1,MM,VYAN,Ann Airport,N19.46.16',E94.1.57',19.766666666666666,94.01666666666668, Public,8020 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYAN
2,2,MM,VYBM,Banmaw Airport,N24.16.25',E97.14.84',24.266666666666666,97.23333333333332, Public,7500 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYBM
3,3,MM,VYBP,Bokpyinn Airport,N11.8.96',E98.44.17',11.133333333333333,98.73333333333332, Public,10400 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYBP
4,4,MM,VYCZ,Chanmyathazi Airport,N21.56.41',E96.5.37',21.93333333333333,96.08333333333331, Public,6500 x 100feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYCZ
5,5,MM,VYDW,Dawei Airport,N14.5.84',E98.12.40',14.083333333333336,98.2, Public,12403 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYDW
6,6,MM,VYHH,Heho Airport,N20.44.82',E96.47.52',20.733333333333334,96.78333333333332, Public,8500 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYHH
7,7,MM,VYHL,Hommalinn Airport,N24.53.93',E94.54.85',24.88333333333333,94.9, Public,11998 x 200feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYHL
8,8,MM,VYPA,Hpa An Airport,N16.53.64',E97.40.50',16.883333333333333,97.66666666666669, Public,4498 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYPA
9,9,MM,VYKL,Kalay Airport,N23.11.33',E94.3.07',23.18333333333333,94.05, Public,4943 x 102feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYKL
10,10,MM,VYKI,Kanti Airport,N25.59.32',E95.40.48',25.98333333333333,95.66666666666669, Public,5400 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYKI
11,11,MM,VYKT,Kawthoung Airport,N10.2.98',E98.32.29',10.033333333333333,98.53333333333332, Public,6177 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYKT
12,12,MM,VYKG,Kengtung Airport,N21.18.10',E99.38.15',21.3,99.63333333333334, Public,7999 x 75feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYKG
13,13,MM,VYKP,Kyaukpyu Airport,N19.25.59',E93.32.08',19.416666666666668,93.53333333333332, Public,4619 x 102feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYKP
14,14,MM,VYKU,Kyauktu Airport,N21.24.00',E94.8.00',21.4,94.13333333333334,Private,,,,,,,,,No,https://www.getmetar.com/VYKU
