,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
0,0,PK,OPLA,Allama Iqbal International Airport,N31.31.29',E74.24.27',31.516666666666666,74.4, Public,11024 x 151feet,Hard,8999 x 151feet,Unknown,,,,,Yes,https://www.getmetar.com/OPLA
1,1,PK,OPPS,Bacha Khan International Airport,N33.59.63',E71.30.87',33.98333333333333,71.5, Public,8999 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPPS
2,2,PK,OPBW,Bahawalpur Airport,N29.20.82',E71.42.68',29.33333333333333,71.7, Public,9350 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPBW
3,3,PK,OPBN,Bannu Airport,N32.58.33',E70.31.50',32.96666666666667,70.51666666666667, Public,6000 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPBN
4,4,PK,OPSK,Begum Nusrat Bhutto Sukkur Airport,N27.43.32',E68.47.51',27.716666666666665,68.78333333333333, Public,8999 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPSK
5,5,PK,OPBT,Bhit Airport,N26.11.75',E67.30.33',26.18333333333333,67.5,Private,,,,,,,,,No,https://www.getmetar.com/OPBT
6,6,PK,OPCH,Chitral Airport,N35.53.17',E71.48.00',35.88333333333333,71.8, Public,5801 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPCH
7,7,PK,OPDG,D G Khan International Airport,N29.57.67',E70.29.14',29.95,70.48333333333333, Public,6499 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPDG
8,8,PK,OPDB,Dalbandin Airport,N28.52.50',E64.24.28',28.86666666666667,64.4, Public,6640 x 102feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPDB
9,9,PK,OPDI,Dera Ismail Khan Airport,N31.54.57',E70.53.80',31.9,70.88333333333334, Public,5000 x 75feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPDI
10,10,PK,OPFA,Faisalabad International Airport,N31.21.92',E72.59.73',31.35,72.98333333333333, Public,9272 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPFA
11,11,PK,OPGT,Gilgit Airport,N35.55.13',E74.20.02',35.916666666666664,74.33333333333333, Public,5400 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPGT
12,12,PK,OPGD,Gwadar Airport,N25.13.94',E62.19.65',25.216666666666665,62.31666666666667, Public,5000 x 90feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPGD
13,13,PK,OPKD,Hyderabad Airport,N25.19.09',E68.21.98',25.316666666666666,68.35, Public,6998 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPKD
14,14,PK,OPIS,Islamabad Airport,N33.32.94',E72.49.54',33.53333333333333,72.81666666666666, Public,,,,,,,,,No,https://www.getmetar.com/OPIS
15,15,PK,OPRN,Islamabad Benazir Bhutto International Airport,N33.37.01',E73.5.92',33.61666666666667,73.08333333333333, Public,10809 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPRN
16,16,PK,OPJI,Jiwani Airport,N25.4.07',E61.48.33',25.066666666666666,61.8, Public,,,,,,,,,No,https://www.getmetar.com/OPJI
17,17,PK,OPKW,Kadanwari Airport,N27.12.38',E69.9.38',27.2,69.15,Private,,,,,,,,,No,https://www.getmetar.com/OPKW
18,18,PK,OPKC,Karachi Jinnah International Airport,N24.54.51',E67.9.77',24.9,67.15, Public,11155 x 148feet,Hard,10500 x 151feet,Unknown,,,,,Yes,https://www.getmetar.com/OPKC
19,19,PK,OPSF,Karachi Sharea Faisal Airport,N24.52.50',E67.7.20',24.86666666666667,67.11666666666666,Military,8038 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPSF
