,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
0,PH,RPME,Butuan Principal Airport,N8.57.11',E125.28.69',8.95,125.46666666666667, Public,6450 x 150feet,Hard,,,,,,,https://www.getmetar.com/RPME
1,PH,RPVK,Kalibo Airport,N11.40.77',E122.22.52',11.666666666666666,122.36666666666666, Public,7175 x 148feet,Hard,,,,,,,https://www.getmetar.com/RPVK
2,PH,RPVE,Caticlan Airport,N11.55.58',E121.57.44',11.916666666666666,121.95, Public,3117 x 98feet,Hard,,,,,,,https://www.getmetar.com/RPVE
3,PH,RPLP,Legazpi Principal Class 1 Airport,N13.9.43',E123.44.06',13.15,123.73333333333333, Public,7480 x 118feet,Hard,,,,,,,https://www.getmetar.com/RPLP
4,PH,RPVS,Antique Airport,N10.45.98',E121.55.94',10.75,121.91666666666667, Public,3937 x 98feet,Hard,,,,,,,https://www.getmetar.com/RPVS
5,PH,RPUR,Baler Community Airport Airport,N15.43.77',E121.30.22',15.716666666666667,121.5, Public,3776 x 98feet,Hard,,,,,,,https://www.getmetar.com/RPUR
6,PH,RPLB,Subic Bay Airport,N14.47.67',E120.16.28',14.783333333333333,120.26666666666667, Public,9003 x 148feet,Hard,,,,,,,https://www.getmetar.com/RPLB
7,PH,RPUO,Basco Principal Airport,N20.27.09',E121.58.81',20.45,121.96666666666667, Public,3820 x 98feet,Hard,,,,,,,https://www.getmetar.com/RPUO
8,PH,RPLT,Itbayat Airport,N20.43.24',E121.49.59',20.716666666666665,121.81666666666666, Public,,,,,,,,,https://www.getmetar.com/RPLT
9,PH,RPUL,Fernando Airport,N13.57.00',E121.7.00',13.95,121.11666666666666,Military,4953 x 148feet,Hard,,,,,,,https://www.getmetar.com/RPUL
10,PH,RPUB,Baguio Airport,N16.22.51',E120.37.14',16.366666666666667,120.61666666666666, Public,5512 x 98feet,Hard,,,,,,,https://www.getmetar.com/RPUB
