,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
0,SB,AGKG,Kaghau Airport,S7.19.90',E157.35.20',-7.316666666666666,157.58333333333334,Private,,,,,,,,,https://www.getmetar.com/AGKG
1,SB,AGKA,Kaghau Airport,S7.19.90',E157.35.20',-7.316666666666666,157.58333333333334,Private,,,,,,,,,https://www.getmetar.com/AGKA
2,SB,AGGC,Taro Island Airport,S6.42.30',E156.23.70',-6.7,156.38333333333333, Public,,,,,,,,,https://www.getmetar.com/AGGC
3,SB,AGGY,Russell Islands Airport,S9.5.60',E159.13.10',-9.083333333333334,159.21666666666667,Private,,,,,,,,,https://www.getmetar.com/AGGY
4,SB,AGGU,Paruru Airport,S9.51.86',E160.49.36',-9.85,160.81666666666666, Public,,,,,,,,,https://www.getmetar.com/AGGU
5,SB,AGGJ,Haimaru Airport,S9.52.10',E160.24.60',-9.866666666666667,160.4, Public,,,,,,,,,https://www.getmetar.com/AGGJ
6,SB,AGGI,Babanakira Airport,S9.44.90',E159.50.40',-9.733333333333333,159.83333333333334, Public,,,,,,,,,https://www.getmetar.com/AGGI
7,SB,AGGH,Honiara International Airport,S9.25.10',E160.3.20',-9.416666666666666,160.05, Public,7218 x 148feet,Unknown,,,,,,,https://www.getmetar.com/AGGH
8,SB,AGJO,Jajao Airport,S8.12.80',E159.16.00',-8.2,159.26666666666668,Private,,,,,,,,,https://www.getmetar.com/AGJO
9,SB,AGGV,Suavanao Airport,S7.35.00',E158.44.00',-7.583333333333333,158.73333333333332,Private,,,,,,,,,https://www.getmetar.com/AGGV
10,SB,AGGF,Maringe Airport,S8.6.40',E159.34.60',-8.1,159.56666666666666, Public,,,,,,,,,https://www.getmetar.com/AGGF
11,SB,AGNA,Nana Airport,S10.39.30',E162.12.40',-10.65,162.2,Private,,,,,,,,,https://www.getmetar.com/AGNA
12,SB,AGGT,Santa Anna Airport,S10.50.50',E162.27.30',-10.833333333333334,162.45, Public,,,,,,,,,https://www.getmetar.com/AGGT
13,SB,AGGK,Kirakira Airport,S10.26.50',E161.53.80',-10.433333333333334,161.88333333333333, Public,,,,,,,,,https://www.getmetar.com/AGGK
14,SB,AGOB,Manaoba Airport,S8.19.28',E160.47.75',-8.316666666666666,160.78333333333333, Public,,,,,,,,,https://www.getmetar.com/AGOB
15,SB,AGKW,Kwailabesi Airport,S8.19.28',E160.47.75',-8.316666666666666,160.78333333333333,Private,,,,,,,,,https://www.getmetar.com/AGKW
16,SB,AGGQ,Ontong Java Airport,S5.30.40',E159.31.60',-5.5,159.51666666666668, Public,,,,,,,,,https://www.getmetar.com/AGGQ
17,SB,AGGP,Parasi Airport,S9.38.62',E161.25.69',-9.633333333333333,161.41666666666666, Public,,,,,,,,,https://www.getmetar.com/AGGP
18,SB,AGGA,GwaunaruU Airport,S8.42.30',E160.40.90',-8.7,160.66666666666666, Public,3111 x 98feet,Soft,,,,,,,https://www.getmetar.com/AGGA
19,SB,AGAT,Uru Harbour Airport,S8.52.00',E161.0.60',-8.866666666666667,161.0,Private,,,,,,,,,https://www.getmetar.com/AGAT
20,SB,AGAF,Afutara Airport,S9.11.10',E160.56.90',-9.183333333333334,160.93333333333334,Private,,,,,,,,,https://www.getmetar.com/AGAF
