,country,icaoCodes,airFieldName,latitude,longitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface
0,VN,VVVH,Vinh Airport,N18.43.80',E105.40.30', Public,,,,,,,,
1,VN,VVTX,Tho Xuan Airport,N19.54.15',E105.28.15', Public,,,,,,,,
2,VN,VVPB,Phubai Airport,N16.24.04',E107.42.15', Public,8858 x 131feet,Hard,,,,,,
3,VN,VVDH,Dong Hoi Airport,N17.30.92',E106.35.45', Public,,,,,,,,
4,VN,VVRG,Kien Giang Rach Gia Airport,N9.57.52',E105.8.05', Public,,,,,,,,
5,VN,VVPQ,Kien Giang Phu Quoc Airport,N10.10.18',E103.59.58', Public,6980 x 98feet,Hard,,,,,,
6,VN,VVCT,Can Tho International Airport,N10.5.03',E105.42.60', Public,9843 x 119feet,Hard,,,,,,
7,VN,VVCM,Ca Mau Airport,N9.10.65',E105.10.55', Public,,,,,,,,
8,VN,VVNB,Noi Bai International Airport,N21.13.30',E105.48.33', Public,12467 x 148feet,Hard,10499 x 148feet,Unknown,,,,
9,VN,VVGL,Hanoi Gialam Airport,N21.2.40',E105.53.20',Military,6562 x 145feet,Hard,,,,,,
10,VN,VVCI,Hai Phong Cat Bi International Airport,N20.49.02',E106.43.38', Public,7880 x 164feet,Hard,,,,,,
11,VN,VVVD,Van Don International Airport,N21.7.08',E107.24.85', Public,,,,,,,,
12,VN,VVKP,Kep Airport,N21.23.68',E106.15.66', Public,7230 x 150feet,Hard,,,,,,
13,VN,VVTS,Tan Son Nhat International Airport,N10.49.23',E106.39.65', Public,12467 x 148feet,Hard,10000 x 148feet,Unknown,,,,
14,VN,VVPR,Phan Rang Airport,N11.38.01',E108.57.11', Public,9990 x 148feet,Hard,,,,,,
15,VN,VVCS,Vung Tau Con Son Airport,N8.43.98',E106.37.78', Public,4223 x 98feet,Hard,,,,,,
16,VN,VVBH,Bien Hoa Aero Airport,N10.58.00',E106.49.00', Public,,,,,,,,
17,VN,VVTH,Tuy Hoa Airport,N13.2.53',E109.19.82', Public,9520 x 150feet,Hard,9300 x 150feet,Unknown,2770 x 90feet,Unknown,,
18,VN,VVPC,Phu Cat Airport,N13.56.95',E109.2.77', Public,10010 x 148feet,Hard,,,,,,
19,VN,VVNT,Nhatrang Airport,N12.13.65',E109.11.54', Public,6400 x 148feet,Hard,,,,,,
20,VN,VVDN,Da Nang International Airport,N16.2.63',E108.12.02', Public,11483 x 148feet,Hard,10000 x 148feet,Unknown,,,,
21,VN,VVCR,Cam Ranh International Airport,N11.59.73',E109.13.10', Public,10000 x 148feet,Hard,,,,,,
22,VN,VVCA,Quang Nam Chu Lai Airport,N15.24.37',E108.42.35', Public,10300 x 150feet,Hard,,,,,,
23,VN,VVDB,Dien Bien Airport,N21.23.87',E103.0.55', Public,,,,,,,,
24,VN,VVPK,Gia Lai Pleiku Airport,N14.0.27',E108.1.18', Public,5960 x 115feet,Hard,,,,,,
25,VN,VVDL,Lien Khuong Airport,N11.45.20',E108.22.08', Public,,,,,,,,
26,VN,VVBM,Buon Ma Thuot Dom Airport,N12.40.10',E108.7.00', Public,9843 x 148feet,Hard,,,,,,
