,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,CN,ANQING, Anqing Port Authority ,"Administration Office7 Yanjiang Zhong Road Anqing, Anhui 246030 China", 86 556 521 7018 , 86 556 554 2843 ,, 30 30 5 N ,117 2 12 E,30.5,117.03333333333332, River Port , Small ,,,,,Yes, Very Small , Fair ,, River Natural ,,Yes,,,,16 - 20 ft, 6 - 10 feet 1.8 - 3 meters ,8.0,21 - 25 ft,21 - 25 ft,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,Yes,,Yes,Yes,,Yes,Yes, None ,,,Huangshan Tunxi Airport
1,CN,ANSHAN,,,,,, 41 4 11 N ,123 0 0 E,41.06666666666667,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shenyang Taoxian Airport
2,CN,BAIMAJING,,,,,, 19 25 12 N ,109 7 47 E,19.416666666666668,109.11666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sanya Phoenix Airport
3,CN,BAO'AN,,,,,, 22 32 59 N ,113 52 18 E,22.53333333333333,113.86666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shenzhen Baoan Airport
4,CN,BAOTOU,,,,,, 40 23 24 N ,109 29 23 E,40.38333333333333,109.48333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Baotou Donghe Airport
5,CN,BASUO, Hai Port Management Bureau ,"Basuo Port Admin Office Haigang Road Basuo, Hai 572600 China", 86 890 552 2512 , 86 890 552 1054 ,, 19 5 13 N ,108 38 9 E,19.08333333333333,108.63333333333334, Harbor , Small ,,161.0,,,Yes, Small , Poor , Over 500 feet in length , Coastal Breakwater ,Yes,Yes,Yes,,Yes,26 - 30 ft,26 - 30 ft,2.0,36 - 40 ft,26 - 30 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,,Limited,"201 to 1,000 tons",,Sanya Phoenix Airport
6,CN,BAYUQUAN,,,,,, 40 41 10 N ,122 14 41 E,40.68333333333333,122.23333333333332,,,No,157.0,94380,,,Very Small,Fair,less than 500 feet,Open Roadstead,Yes,,Yes,,,46 - 51 ft,36 - 40 ft,8.0,36 - 40 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,Up to 200 tons,,Shenyang Taoxian Airport
7,CN,BEIJIAO,,,,,, 22 53 39 N ,113 10 8 E,22.88333333333333,113.16666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Guangzhou Baiyun Airport
8,CN,BEIPEI,,,,,, 29 49 55 N ,106 26 7 E,29.816666666666666,106.43333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Chongqing Jiangbei Airport
9,CN,BENGBU, Bengbu Harbour Administration ,"1 Shengping Street Central District Bengbu, Anhui 233000 China",,,, 32 55 0 N ,117 22 0 E,32.916666666666664,117.36666666666666, River Port , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hefei Xinqiao Airport
10,CN,BINHAI,,,,,, 21 36 20 N ,109 14 39 E,21.6,109.23333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Nanning Wuxu Airport
11,CN,BOHE,,,,,, 30 23 49 N ,115 0 59 E,30.38333333333333,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Wuhan Tianhe Airport
12,CN,BUJI,,,,,, 22 39 51 N ,114 5 9 E,22.65,114.08333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shenzhen Baoan Airport
13,CN,CAOFEIDIAN PT ,,,,,, 39 1 5 N ,118 31 16 E,39.016666666666666,118.51666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Qinhuangdao Beidaihe Airport
14,CN,CHANGDE,,,,,, 29 1 59 N ,111 40 59 E,29.016666666666666,111.66666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Changde Airport
15,CN,CHANGSHA,,,,,, 28 11 19 N ,112 58 10 E,28.18333333333333,112.96666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Changsha Huanghua Airport
16,CN,CHANGSHU, Changshu Xinghua Changjiang Development Co Ltd ,"88 Jinsha Jiang Road Changshu, Jiangsu 215513 China", 86 512 5269 5028 , 86 512 5269 5026 ,, 31 45 46 N ,120 57 9 E,31.75,120.95," Pier, Jetty or Wharf ", Very Small ,,157.0,,,,Small,Fair,less than 500 feet,Open Roadstead,,,,,,21 - 25 ft,21 - 25 ft,3.0,41 - 45 ft,26 - 30 ft,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,,,,Nantong Xingdong Airport
17,CN,CHANGZHI,,,,,, 36 6 35 N ,113 4 48 E,36.1,113.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Taiyuan Wusu Airport
18,CN,CHANGZHOU, Changzhou Harbour Administration Department ,"Administration Office Weitang Town New District Changzhou, Jiangsu 213128 China", 86 519 577 0342 , 86 519 577 0342 ,, 31 57 52 N ,119 58 56 E,31.95,119.96666666666668, River Port , Small ,,157.0,,,,Small,Poor,less than 500 feet,Open Roadstead,,,,Yes,,31 - 35 ft,36 - 40 ft,2.0,16 - 20 ft,,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,Limited,,,Changzhou Benniu Airport
19,CN,CHENGDU,,,,,, 30 23 60 N ,104 2 24 E,30.38333333333333,104.03333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Chengdu Shuangliu Airport
20,CN,CHENGLINGJI, Chenglingji Port Authority ,"Port Administration Office2 Changjiang Road Chenglingji, Hu 414002 China", 86 730 856 1761 ,,, 29 25 48 N ,113 8 54 E,29.41666666666667,113.13333333333334, River Port , Medium ,,,,,, Very Small , Good , Up to 500 feet in length , River Natural ,,No,Yes,,,, 6 - 10 feet 1.8 - 3 meters ,17.0, 6 - 10 feet 1.8 - 3 meters ,26 - 30 ft,Yes,,,,Yes,,,Yes,,,,,,,,,Yes,Yes,,,, Emergency Only ,,,Changsha Huanghua Airport
21,CN,CHIWAN, Chiwan Port Authority ,"c/o China Ocean Shpg Agency Gangwan Yi Road, Shekou Shenzhen, Guangdong 518067 China", 86 755 2669 4888 , 86 755 2669 4297 ,, 22 28 42 N ,113 52 30 E,22.466666666666665,113.86666666666666, Seaport , Large ,,161.0,93721,,,Very Small,Fair,less than 500 feet,Coastal Breakwater,Yes,,Yes,,Yes,31 - 35 ft,11 - 15 ft,2.0,11 - 15 ft,16 - 20 ft,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Limited,Up to 200 tons,,Shenzhen Baoan Airport
22,CN,CHIZHOU,,,,,, 30 40 4 N ,117 28 12 E,30.66666666666667,117.46666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Huangshan Tunxi Airport
