,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,0,DE,AGIO THEODOROI, KVVH GmbH - Rhine Ports Division ,Werftstrasse 2 Karlsruhe 76189 Germany, 49 0 721 599 74 00 , 49 0 721 599 74 09 , schwarzer@rheinhafen.de , 37 55 0 N ,23 4 59 E,37.91666666666666,23.066666666666666, River Port , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonnen Airport
1,1,DE,BERLIN,,,,,, 52 31 46 N ,13 25 19 E,52.51666666666666,13.416666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Berlin Tegel Airport
2,2,DE,BONN,,,,,, 50 44 4 N ,7 6 20 E,50.73333333333333,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bonn Hangelar Airport
3,75,DE,BRAKE,,,,,,53 20 N,8 29 E,53.33333333333334,8.483333333333333,,,Yes,192.0,37235.0,No,Yes,Medium,Good,less than 500 feet,River Tide Gate,,,Yes,,No,26 - 30 ft,36 - 40 ft,4.0,26 - 30 ft,,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Limited,,Up to 656 ft,Bremerhaven Am Luneort Airport
4,3,DE,BRAMEL,,,,,, 53 19 47 N ,8 25 11 E,53.31666666666667,8.416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bremerhaven Am Luneort Airport
5,4,DE,BRAUNSCHWEIG,,,,,, 52 9 35 N ,10 18 0 E,52.15,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Salzgitter Drutte Airport
6,5,DE,BREMEN, Bremen Port Authority ,Hansestadt Bremisches Ueberseetor 2 Bremen Germany, 49 421 361 8504 , 49 421 361 8387 , bremen-port@hbh.bremen.de , 53 4 31 N ,8 47 43 E,53.06666666666667,8.783333333333333, River Port , Medium ,Yes,192.0,37236.0,Yes,Yes, Large , Fair , Over 500 feet in length , River Tide Gate ,Yes,,Yes,,No,11 - 15 ft,21 - 25 ft,3.0, 6 - 10 feet 1.8 - 3 meters ,21 - 25 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,,Up to 656 ft,Bremen Airport
7,6,DE,BREMERHAVEN, Bremen Port Authority ,Hansestadt Bremisches Ueberseetor 2 Bremen Germany, 49 421 361 8504 , 49 421 361 8387 , bremen-port@hbh.bremen.de , 53 32 34 N ,8 34 31 E,53.53333333333333,8.566666666666666, Seaport , Large ,Yes,192.0,37234.0,Yes,Yes, Large , Good , Over 500 feet in length , River Tide Gate ,Yes,,Yes,Yes,No,36 - 40 ft,16 - 20 ft,3.0,26 - 30 ft,26 - 30 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"over 1,000 tons",985 ft and over,Bremerhaven Am Luneort Airport
8,7,DE,BRUNSBUTTEL, Hafengesellschaft Brunsbuttel mbH ,Elbehafen Brunsbuettel 25541 Germany, 49 0 4852 884-0 , 49 0 4852 884-26 , info@elbehafen.de , 53 53 32 N ,9 7 59 E,53.88333333333333,9.116666666666667, Seaport , Medium ,Yes,,,No,Yes, Very Small , Good , Over 500 feet in length , River Natural ,Yes,,No,Yes,No, 6 - 10 feet 1.8 - 3 meters ,46 - 50 ft,8.0,,41 - 45 ft,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes, Limited ,Up to 200 tons,,Heide Busum Airport
9,73,DE,BRUNSBUTTEL CANAL TERMINALS,,,,,,53 54 N,9 9 E,53.9,9.15,,,,192.0,37228.0,No,Yes,Small,Excellent,less than 500 feet,Lake or Canal,Yes,,Yes,Yes,No,36 - 40 ft,36 - 40 ft,5.0,36 - 40 ft,31 - 35 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Up to 200 tons,,Heide Busum Airport
