,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,IN,AHMEDABAD,,,,,, 23 3 38 N ,72 33 23 E,23.05,72.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sardar Vallabh Bhai Patel International Airport
1,IN,ALBERT VICTOR (BEHERAI),,,,,, 20 55 41 N ,71 30 24 E,20.916666666666668,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Diu Airport
2,IN,ALEWADI,,,,,, 19 46 59 N ,72 42 0 E,19.766666666666666,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Daman Airport
3,IN,ALLEPEY, Alleppey Port Authority ,Port Office Alleppey India, 91 477 225 3213 ,,, 9 31 15 N ,76 22 10 E,9.516666666666667,76.36666666666666," Pier, Jetty or Wharf ", Very Small ,Yes,,,No,Yes, Small , Fair , Over 500 feet in length , Open Roadstead ,,Yes,No,,No, 6 - 10 feet 1.8 - 3 meters ,21 - 25 ft,,26 - 30 ft,,No,No,Yes,,Yes,Yes,Yes,,,,,Yes,,Yes,,,Yes,No,,Yes,No, None ,,,Cochin Airport
4,IN,BEDI BUNDER,,,,,, 22 32 23 N ,70 2 29 E,22.53333333333333,70.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Jamnagar Airport
5,IN,BELEKERI,,"The Director of Ports and I W T Baithkol Karwar, Karnataka 581302 India", 91 838 221494 , 91 838 221488 ,, 14 42 3 N ,74 15 48 E,14.7,74.25," Pier, Jetty or Wharf ", Very Small ,Yes,173.0,63110,No,Yes,Very Small,None,less than 500 feet,Open Roadstead,No,Yes,No,No,Yes,16 - 20 ft,,0.0,31 - 35 ft,,No,Yes,,,Yes,Yes,,,,,,,,,,Yes,No,No,,Yes,No,Limited,Up to 200 tons,,Goa Airport Airport
6,IN,BHAVNAGAR, Gujarat Maritime Board ,"Sector 10-A, Opp. Air Force Station Gandhinagar, Gujarat 382 010 India", 079-23238346 , 079-23234703 , gmbad1@sancharnet.in , 21 45 0 N ,72 13 59 E,21.75,72.21666666666667," Pier, Jetty or Wharf ", Very Small ,Yes,173.0,63092,No,Yes,Small,Good,less than 500 feet,River Tide Gate,Yes,,Yes,No,No,11 - 15 ft,11 - 15 ft,12.0,36 - 40 ft,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Limited,Up to 200 tons,Up to 656 ft,Bhavnagar Airport
7,IN,BHUSAWAL,,,,,, 21 2 43 N ,75 48 3 E,21.03333333333333,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Jalgaon Airport
8,IN,BOMBAY, Mumbai Port Trust ,"Port House Shoorji Vallabhdas Marg Mumbai, Maharastra 400 001 India", 66565656 , 91 22 22611011 , mbpt@vsnl.com , 18 56 4 N ,72 49 32 E,18.933333333333334,72.81666666666666, Deepwater Seaport , Large ,Yes,,,Yes,Yes, Large , Good , Over 500 feet in length , Coastal Tide Gate ,Yes,,Yes,Yes,Yes,26 - 30 ft,16 - 20 ft,2.0,31 - 35 ft,36 - 40 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"over 1,000 tons",985 ft and over,Juhu Airport
9,IN,CALCUTTA, Calcutta Port Trust ,15 Strand Road Kolkata 700 001 India, 91-33 2230-3451 , 91-33 2220-4901 , portofcalcutta@portofcalcutta.com , 22 34 3 N ,88 20 35 E,22.566666666666666,88.33333333333331, River Port , Large ,Yes,173.0,63323,Yes,Yes, Large , Good , Over 500 feet in length , River Natural ,Yes,Yes,Yes,Yes,No,26 - 30 ft,26 - 30 ft,1.0,31 - 35 ft,31 - 35 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"over 1,000 tons",657 ft to 984 ft,Netaji Subhash Chandra Bose Airport
10,IN,CALICUT,,,,,, 11 15 7 N ,75 46 17 E,11.25,75.76666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Calicut Airport
11,IN,CALINGAPATNAM, Calingapatnam Port Authority ,"Port Office Calingapatnam, Andhra Pradesh India",,,, 18 19 59 N ,84 7 59 E,18.316666666666666,84.11666666666666," Pier, Jetty or Wharf ", Very Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vishakhapatnam Airport
12,IN,CHENNAI, Chennai Port Trust ,"Rajaji Salai Chennai, Tamil Nadu 600 001 India", 91 44 25362201 , 91 44 25361228 , diredp@chennaiport.gov.in , 13 5 60 N ,80 16 59 E,13.083333333333336,80.26666666666667, Seaport , Large ,Yes,,,Yes,Yes, Medium , Good , Over 500 feet in length , Coastal Breakwater ,Yes,Yes,No,Yes,No,51 - 55 ft,26 - 30 ft,1.0,61 - 65 ft,51 - 55 ft,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"201 to 1,000 tons",657 ft to 984 ft,Chennai International Airport
13,IN,COCHIN, Cochin Port Trust ,Willingdon Island Cochin 682009 India, 91 484 266 6871 , 91 484 266 8163 , mail@cochinport.com , 9 57 28 N ,76 14 22 E,9.95,76.23333333333333, Seaport , Large ,Yes,,,No,Yes, Medium , Good , Over 500 feet in length , Coastal Natural ,Yes,Yes,No,,Yes,26 - 30 ft,26 - 30 ft,1.0,41 - 45 ft,26 - 30 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes, Moderate ,"201 to 1,000 tons",Up to 656 ft,Cochin Airport
14,IN,COLOCHEL,,,,,, 8 10 20 N ,77 14 54 E,8.166666666666666,77.23333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Thiruvananthapuram International Airport
15,IN,CUDDALORE, Tamilnadu Port Department ,"Marine House Beach Road Devanampattinam, Tamilnadu India", 91-4142-2025 ,,, 11 43 0 N ,79 46 59 E,11.716666666666667,79.76666666666667, Harbor , Small ,Yes,173.0,63260,No,Yes, Very Small , Poor , Over 500 feet in length , Open Roadstead ,,,No,No,No, 6 - 10 feet 1.8 - 3 meters ,6 - 10 ft,0.0,36 - 40 ft,,No,No,No,No,Yes,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes,No,,Yes,No, None ,Up to 200 tons,Up to 656 ft,Puducherry Airport
16,IN,DABHOL,,,,,, 17 33 40 N ,73 8 26 E,17.55,73.13333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Aamby Valley Airport
17,IN,DAHEJ, Gujarat Maritime Board ,"Sector 10-A, Opp. Air Force Station Gandhinagar, Gujarat 382 010 India", 079-23238346 , 079-23234703 , gmbad1@sancharnet.in , 21 43 27 N ,72 31 42 E,21.716666666666665,72.51666666666667," Pier, Jetty or Wharf ", Small ,Yes,173.0,63091,No,Yes,Very Small,None,over 500 feet,Open Roadstead,,,Yes,Yes,,46 - 51 ft,46 - 51 ft,7.0,61 - 65 ft,41 - 45 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,,,,Yes,,Limited,Up to 200 tons,,Bhavnagar Airport
18,IN,DHOLERA, Dholera Port Ltd ,"51 Greekini House5th Floor Ahmedabad, Gujarat 380006 India", 91 792 640 1782 , 91 792 640 1892 , jkwc-amd@satyam.net.in , 22 4 39 N ,72 15 46 E,22.066666666666666,72.25, Seaport , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavnagar Airport
19,IN,DIGHI,,,,,, 18 19 0 N ,72 58 0 E,18.316666666666666,72.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Aamby Valley Airport
20,IN,ENNORE, Ennore Port Ltd ,"No.23, First Floor, P. T. Lee Chengalvaraya Naicker Maaligai, Chennai 600 001 India", 91-44-25251666 , 91-44-25251665 , info@epl.gov.in , 13 19 16 N ,80 20 28 E,13.316666666666665,80.33333333333333, Seaport , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennai International Airport
21,IN,FARIDABAD,,,,,, 28 22 55 N ,77 18 11 E,28.36666666666667,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Safdarjung Airport
