,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,IT,ACITREZZA,,,,,, 37 33 39 N ,15 9 13 E,37.55,15.15,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Catania Fontanarrosa Airport
1,IT,ACQUAVIVA PICENA,,,,,, 42 33 36 N ,13 28 48 E,42.55,13.466666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,LAquila Parchi Airport
2,IT,ALGHERO, Alghero Port Authority ,"Ufficio Circodariale Marittimo Alghero, Sardinia, C A 07041 Italy", 39 0799 53174 , 39 0799 84606 , alghero@guardiacostiera.it , 40 33 52 N ,8 19 59 E,40.55,8.316666666666666, Harbor , Small ,,,,,Yes, Small , Poor , Up to 500 feet in length , Coastal Breakwater ,,,,,, 6 - 10 feet 1.8 - 3 meters ,11 - 15 ft,,36 - 40 ft,,Yes,Yes,No,No,Yes,Yes,Yes,,,,,,,,,,Yes,,,Yes,, Limited ,,,Alghero Fertilia Airport
3,IT,ANCONA, Autorita Portuale de Ancona ,"Molo S. Maria Ancona, A N 60121 Italy", +39 071 207891 , +39 071 2078940 , info@autoritaportuale.ancona.it , 43 37 15 N ,13 30 42 E,43.61666666666667,13.5, Harbor , Small ,Yes,131.0,54041,,Yes, Medium , Good , Over 500 feet in length , Coastal Breakwater ,No,Yes,Yes,,No,36 - 40 ft,26 - 30 ft,1.0,26 - 30 ft,41 - 45 ft,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes, Moderate ,"201 to 1,000 tons",Up to 656 ft,Ancona Falconara Airport
4,IT,ANZIO, Anzio Port Authority ,"Ufficio Circondariale Maritimo Via Mole Innocenziano No 48 Anzio, R M Italy", 39 06 984 6235 , 39 06 984 6235 ,, 41 27 0 N ,12 37 59 E,41.45,12.616666666666667, Harbor , Small ,,131.0,53147,No,, Very Small , Fair ,, Coastal Breakwater ,,,,,,16 - 20 ft,11 - 15 ft,0.0,26 - 30 ft,,Yes,,No,No,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes, Limited ,Up to 200 tons,,Pratica Di Mare Airport
5,IT,AUGUSTA, Augusta Port Authority ,"Via Millo Enrico, 2 Augusta, S R 96011 Italy", 0931524080 , 0931523652 , compamareauop@interfree.it , 37 14 31 N ,15 11 48 E,37.23333333333333,15.183333333333335, Seaport , Medium ,Yes,131.0,53201,No,Yes, Small , Fair , Over 500 feet in length , Coastal Breakwater ,Yes,Yes,No,,No,76 - over ft,21 - 25 ft,0.0,51 - 55 ft,21 - 25 ft,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,Up to 656 ft,Catania Fontanarrosa Airport
6,IT,AVOLA, Avola Port Authority ,"Colonello di Porto Siracusa, Sicily, S R 96100 Italy",,,, 36 54 11 N ,15 8 35 E,36.9,15.133333333333333," Pier, Jetty or Wharf ", Very Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comiso Airport
7,IT,BAGNOLI, Bagnoli Port Authority ,"Captain of Port of Naples10 via Coroglio Naples, N A 80133 Italy",,,, 40 48 47 N ,14 9 55 E,40.8,14.15, Harbor , Small ,Yes,131.0,53162,No,Yes, Small , Poor , Over 500 feet in length , Open Roadstead ,,Yes,No,,No,76 - over ft,16 - 20 ft,0.0, 66 - 75 feet 20.1 - 21.3 meters ,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,,Napoli Capodichino Airport
8,IT,BAIA,,,,,, 40 49 47 N ,14 5 3 E,40.81666666666667,14.083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Napoli Capodichino Airport
9,IT,BARI, Port Authority of Bari ,"Piazzale Cristoforo Colombo, 1 Bari, B A 70122 Italy", 39 080 578 8511 , 39 080 524 5449 , info@porto.bari.it , 41 7 59 N ,16 52 0 E,41.11666666666667,16.866666666666667, Harbor , Small ,Yes,131.0,54081,No,Yes, Medium , Good , Over 500 feet in length , Coastal Breakwater ,,No,No,,No,36 - 40 ft,16 - 20 ft,1.0,31 - 35 ft,36 - 40 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes, Limited ,"201 to 1,000 tons",657 ft to 984 ft,Bari Palese Airport
10,IT,BARLETTA, Barletta Port Authority ,"1 Campanone Via Columbo 30 Barletta, B A 70051 Italy", 39 0883 531020 , 39 0883 533400 , barletta@guardiacostiera.it , 41 19 0 N ,16 16 0 E,41.31666666666667,16.266666666666666, Harbor , Small ,,,,,Yes, Medium , Good , Up to 500 feet in length , Coastal Breakwater ,,,,,,26 - 30 ft,26 - 30 ft,,26 - 30 ft,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,Yes,,,Yes,Yes,,Yes,Yes, Limited ,,,Bari Palese Airport
11,IT,BOLOGNA,,,,,, 44 29 47 N ,11 20 16 E,44.48333333333333,11.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bologna Borgo Panigale Airport
12,IT,BRUCOLI,,,,,, 37 16 59 N ,15 10 59 E,37.266666666666666,15.166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Catania Fontanarrosa Airport
13,IT,CAGLIARI, Autorita Portuale di Cagliari ,Molo Sanita Porto di Cagliari Cagliari 09123 Italy, 39 070 679531 , 39 070 67953345 , autorita.portuale@tiscali.it , 39 13 0 N ,9 7 0 E,39.21666666666667,9.116666666666667, Seaport , Medium ,,131.0,53262,Yes,Yes, Small , Fair , Over 500 feet in length , Coastal Breakwater ,Yes,Yes,No,,No,46 - 50 ft,21 - 25 ft,1.0,41 - 45 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,,Cagliari Elmas Airport
