,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,JP,ABASHIRI, Abashiri Port Authority ,"Minami 6 Abashiri, Hokkaido Pref 093-0006 Japan", 81 15 244 6111 , 81 15 243 6151 ,, 44 1 0 N ,144 16 59 E,44.01666666666666,144.26666666666668, Seaport , Medium ,Yes,,,Yes,Yes, Very Small , Poor ,, Open Roadstead ,,,,,Yes,21 - 25 ft,16 - 20 ft,2.0,26 - 30 ft,,No,Yes,Yes,,Yes,Yes,Yes,,,,,,,,No,Yes,,Yes,,Yes,, Limited ,,,Memanbetsu Airport
1,JP,ABOSHI,,,,,, 34 45 30 N ,134 34 17 E,34.75,134.56666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Tokushima Airport
2,JP,ABURATSU,,,,,, 31 34 59 N ,131 24 0 E,31.566666666666666,131.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Miyazaki Airport
3,JP,AINOURA,,,,,, 32 44 51 N ,129 51 24 E,32.73333333333333,129.85,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Nagasaki Airport
4,JP,AIOI, Aioi Port Authority ,"Kamigori Doboku ( Public Works)500-5 Aza Maruogami, Kamigori, Kamigoori-cho Ako-gun, Hyogo Pref 678-1231 Japan", 81 79 152 5111 ,,, 34 46 0 N ,134 25 59 E,34.766666666666666,134.41666666666666, Seaport , Medium ,Yes,159.0,,No,Yes, Very Small , Fair , Over 500 feet in length , Coastal Natural ,,Yes,No,Yes,No,21 - 25 ft,16 - 20 ft,1.0,21 - 25 ft,76 - over ft,,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"over 1,000 tons",985 ft and over,Kohnan Airport
5,JP,AKITA, Akita Prefectural Government ,"7-1, Tsuchizaki-minato, Nishi 1-chome Akita Japan", 81-18-845-2021 ,,, 39 45 0 N ,140 3 0 E,39.75,140.05, Seaport , Medium ,Yes,,,No,Yes, Very Small , Poor , Over 500 feet in length , River Natural ,Yes,Yes,No,,Yes,31 - 35 ft,21 - 25 ft,3.0,21 - 25 ft,21 - 25 ft,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes, Limited ,,,Akita Airport
6,JP,AMAGASAKI, Amagasaki Port Authority ,"Port Division, Planning Branch, Hyogo Prefectural Government5-10 Shimoyamate-dori Chuo-ku, Kobe 650-8567 Japan", 81 78 341 7711 ,,, 34 41 2 N ,135 22 13 E,34.68333333333333,135.36666666666667, Seaport , Medium ,Yes,159.0,97245,No,Yes, Small , Fair , Up to 500 feet in length , Open Roadstead ,,Yes,No,Yes,No,36 - 40 ft,31 - 35 ft,1.0,36 - 40 ft,31 - 35 ft,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes, Limited ,,,Osaka International Airport
7,JP,AOKATA,,,,,, 32 58 59 N ,129 1 59 E,32.96666666666667,129.01666666666668,,,,159.0,97392,,,Very Small,Poor,,Open Roadstead,,,,,,76 - over ft,,0.0,51 - 55 ft,71 - 75 ft,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,,,No,,,No,,,,Kamigoto Airport
8,JP,ATSUMI,,,,,, 34 39 17 N ,137 4 19 E,34.65,137.06666666666666,,,,158.0,,,Yes,Very Small,Poor,less than 500 feet,Coastal Natural,,,,,,26 - 30 ft,36 - 40 ft,2.0,,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,Yes,,No,,Yes,No,,,,Chubu Centrair Airport
9,JP,CHIBA, Chiba Port and Harbour Office ,"1-6-1 Chuoko Chuo-ku Chiba-shi, Chiba Pref 260-8667 Japan", 81 43 246 6201 , 81 43 241 3470 ,, 35 34 59 N ,140 5 60 E,35.56666666666667,140.08333333333334, Seaport , Very Large ,Yes,,,No,Yes, Small , Good , Over 500 feet in length , Coastal Breakwater ,,Yes,No,,No, 56 - 60 feet 17.1 - 18.2 meters ,31 - 35 ft,1.0,26 - 30 ft,31 - 35 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes, Major ,Up to 200 tons,985 ft and over,Shimofusa Airport
