,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,0,MY,BAKAPIT,,,,,, 4 57 19 N ,118 35 44 E,4.95,118.58333333333331,,,Yes,163.0,,,,Very Small,Fair,less than 500 feet,Coastal Natural,,Yes,,,,16 - 20 ft,11 - 15 ft,0.0,11 - 15 ft,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,Lahad Datu Airport
1,1,MY,BINTANGOR,,,,,, 2 10 3 N ,111 37 58 E,2.1666666666666665,111.61666666666666,,,Yes,163.0,71350,,Yes,Very Small,Fair,,River Natural,,,,,,16 - 20 ft,11 - 15 ft,3.0,11 - 15 ft,,,Yes,No,No,,Yes,,,,,,,,,,Yes,,Yes,,Yes,,Limited,,,Sibu Airport
2,56,MY,BINTULU PORT,,,,,,3 16 N,113 4 E,3.2666666666666666,113.06666666666666,,,No,163.0,,No,Yes,Small,Poor,over 500 feet,Coastal Breakwater,Yes,Yes,Yes,No,No,41 - 45 ft,41 - 45 ft,1.0,66 - 70 ft,46 - 51 ft,Yes,Yes,Yes,No,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Limited,,Up to 656 ft,Bintulu Airport
3,2,MY,"BINTULU, SARAWAK",,,,,, 3 10 30 N ,113 1 48 E,3.1666666666666665,113.01666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bintulu Airport
4,3,MY,BUTTERWORTH,,,,,, 5 15 0 N ,100 14 23 E,5.25,100.23333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Penang International Airport
5,4,MY,DULANG MARINE TERMINAL,,,,,, 5 47 60 N ,104 10 0 E,5.783333333333332,104.16666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Kuala Terengganu Sultan Mahmud Airport
6,5,MY,DUNGUN (KUALA DUNGUN),,,,,, 4 46 59 N ,103 25 59 E,4.766666666666667,103.41666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Kerteh Airport
7,6,MY,GEORGETOWN,,,,,, 5 26 23 N ,100 18 16 E,5.433333333333334,100.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Butterworth Airport
8,7,MY,JOHOR,,,,,, 1 26 6 N ,103 53 59 E,1.4333333333333331,103.88333333333334,,,Yes,174.0,71265,,Yes,Large,Fair,over 500 feet,River Natural,,,,Yes,Yes,31 - 35 ft,16 - 20 ft,3.0,31 - 35 ft,46 - 51 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Major,,985 ft and over,Singapore Changi International Airport
9,8,MY,JOHORE BAHRU,,,,,, 1 27 16 N ,103 45 11 E,1.45,103.75,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Johor Bahru Senai International Airport
