,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestCOneThirtyCSeventeen
0,0,NZ,AKAROA, Encironment Canterbury ,Akaroa New Zealand, 03 353-9007 ,, ecinfo@ecan.govt.nz ,- 43 52 31 S ,172 54 0 E,-43.875277777777775,172.9, Harbor , Small ,,127.0,76140,No,Yes, Very Small , Good ,less than 500 feet, Coastal Natural ,,Yes,Yes,,Yes,41 - 45 ft,11 - 15 ft,6.0,16 - 20 ft,,,Yes,No,,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,,Yes,Yes, Limited ,,,Christchurch Airport
1,1,NZ,AUCKLAND, Ports of Auckland ,Ports of Auckland Building Sunderland Street Auckland New Zealand, 0064 9 366 0055 , 64 9 367 5455 ,,- 36 50 46 S ,174 46 5 E,-36.846111111111114,174.76666666666668, Seaport , Large ,Yes,127.0,76052,Yes,Yes, Large , Excellent , Over 500 feet in length , River Natural ,Yes,Yes,No,Yes,No,31 - 35 ft,26 - 30 ft,2.0,36 - 40 ft,26 - 30 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,Up to 200 tons,985 ft and over,Auckland Airport
2,2,NZ,BLENHEIM,,,,,,- 41 18 36 S ,173 34 48 E,-41.31,173.56666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Nelson Airport
3,3,NZ,BLUFF, South Port New Zealand Limited ,Island Harbour P. O. Box 1 Bluff 9842 New Zealand, 64 3 212 8159 , 64 3 212 8685 , info@southport.co.nz ,- 46 33 57 S ,168 17 21 E,-46.56583333333333,168.28333333333333, Seaport , Small ,,,,,Yes, Small , Fair , Over 500 feet in length , Coastal Natural ,Yes,Yes,,Yes,,26 - 30 ft,31 - 35 ft,6.0,46 - 50 ft,31 - 35 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,Yes,,Yes,Yes, Moderate ,"201 to 1,000 tons",Up to 656 ft,Invercargill Airport
4,4,NZ,CHRISTCHURCH,,,,,,- 43 32 44 S ,172 42 37 E,-43.545555555555545,172.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Christchurch Airport
5,38,NZ,COLLINGWOOD,,,,,,-40 41 S,172 40 E,-40.68333333333333,172.66666666666663,,,,127.0,76080,,Yes,Very Small,Good,,Coastal Natural,,Yes,,,,6 - 10 ft,6 - 10 ft,7.0,31 - 35 ft,,Yes,Yes,Yes,,,,Yes,,,,,Yes,,Yes,,,,Yes,,,Yes,Limited,Up to 200 tons,,Nelson Airport
6,5,NZ,DUNEDIN,,,,,,- 45 52 14 S ,170 31 38 E,-45.87055555555556,170.51666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Dunedin Airport
7,6,NZ,GISBORNE, Eastland Port Limited ,172 Carnarvon St PO Box 1048 Gisborne New Zealand, 64 6 869 0700 , 64 6 867 8563 , admin@eastland.co.nz ,- 38 38 56 S ,177 58 21 E,-38.64888888888889,177.96666666666667, Seaport , Small ,Yes,127.0,,No,Yes, Small , Fair , Over 500 feet in length , River Basin ,Yes,,No,No,Yes,31 - 35 ft,31 - 35 ft,1.0, 56 - 60 feet 17.1 - 18.2 meters ,31 - 35 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes, Limited ,Up to 200 tons,,Gisborne Airport
8,7,NZ,GREYMOUTH, Grey District Council ,PO Box 382105 Tainui Street Greymouth New Zealand, 64 3 768 1700 , 64 3 768 1713 ,,- 42 25 59 S ,171 13 0 E,-42.43305555555556,171.21666666666667, Harbor , Small ,Yes,127.0,,,Yes, Small , Good , Up to 500 feet in length , River Natural ,Yes,Yes,Yes,,,16 - 20 ft,16 - 20 ft,3.0, 56 - 60 feet 17.1 - 18.2 meters ,,No,Yes,No,No,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,No,Yes,Yes,Yes,Yes,Yes, Moderate ,Up to 200 tons,,Greymouth Airport
9,8,NZ,HAMILTON,,,,,,- 37 28 11 S ,175 10 11 E,-37.46972222222223,175.16666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Hamilton Airport
10,9,NZ,HAWERA,,,,,,- 39 21 0 S ,174 11 60 E,-39.35,174.18333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,New Plymouth Airport
11,10,NZ,HUNTLY,,,,,,- 37 19 47 S ,175 5 23 E,-37.329722222222216,175.08333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Ardmore Airport
12,11,NZ,INVERCARGILL,,,,,,- 46 14 24 S ,168 12 36 E,-46.24,168.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Invercargill Airport
13,12,NZ,LEVIN,,,,,,- 40 22 48 S ,175 10 11 E,-40.38,175.16666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Ohakea Airport
14,13,NZ,LYTTELTON, Lyttelton Port Company Limited ,Private Bag 501 Norwich Quay Lyttelton New Zealand, 03 328 8198 , 03 328 7828 , marketing@lpc.co.nz ,- 43 36 5 S ,172 43 9 E,-43.60138888888889,172.71666666666667, Seaport , Medium ,Yes,127.0,76151,Yes,Yes, Medium , Good , Over 500 feet in length , Coastal Breakwater ,Yes,Yes,No,No,No,31 - 35 ft,31 - 35 ft,2.0,46 - 50 ft,36 - 40 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"201 to 1,000 tons",Up to 656 ft,Christchurch Airport
15,37,NZ,MANUKAU HARBOR,,,,,,-36 56 S,174 47 E,-36.93333333333333,174.78333333333333,,,Yes,127.0,76050,Yes,Yes,Medium,Good,over 500 feet,Coastal Natural,Yes,,,,Yes,11 - 15 ft,16 - 20 ft,3.0,16 - 20 ft,31 - 35 ft,No,Yes,Yes,,Yes,,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Moderate,,,Auckland Airport
16,14,NZ,MARSDEN POINT,,,,,,- 35 30 0 S ,174 18 0 E,-35.5,174.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Whangarei Airport
17,15,NZ,MOUNT MAUNGANUI,,,,,,- 37 22 48 S ,176 6 36 E,-37.38,176.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Tauranga Airport
