,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestCOneThirtyCSeventeen
0,0,PG,AITAPE, PNG Ports Corporation Ltd. ,PO Box 671 Port Moresby Papua New Guinea, 321 1400 , 321 2440 ,,- 3 7 59 S ,142 20 60 E,-3.1330555555555555,142.33333333333334, River Port , Very Small ,No,,,,Yes, Very Small , Good ,, Coastal Natural ,,,No,,No,41 - 45 ft,11 - 15 ft,1.0,41 - 45 ft,,No,No,No,No,Yes,No,,,,,,,,Yes,,Yes,No,,,,,,,,Vanimo Airport
1,1,PG,ALOTAU, PNG Ports Corporation Ltd. ,PO Box 671 Port Moresby Papua New Guinea, 321 1400 , 321 2440 ,,- 10 15 45 S ,150 26 59 E,-10.2625,150.43333333333334," Pier, Jetty or Wharf ", Small ,Yes,,,No,Yes, Small , Fair , Up to 500 feet in length , Coastal Natural ,No,No,No,,No,21 - 25 ft,31 - 35 ft,1.0,76 - over ft,,No,Yes,No,No,Yes,,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,No, None ,,,Gurney Airport
2,20,PG,ALOTOA,,,,,,-10 19 S,150 27 E,-10.316666666666666,150.45,,,Yes,164.0,73601,No,Yes,Very Small,Fair,less than 500 feet,Coastal Natural,No,No,No,No,No,21 - 25 ft,31 - 35 ft,1.0,76 - over ft,16 - 20 ft,No,Yes,No,No,,,Yes,,No,No,No,No,No,No,No,Yes,,Yes,,Yes,No,None,,,Gurney Airport
3,2,PG,ANEWA BAY, Bougainville Copper PTY Ltd ,Panguna Bougainville Papua New Guinea, 675 972100 ,,,- 6 7 11 S ,155 19 48 E,-6.119722222222222,155.31666666666666," Pier, Jetty or Wharf ", Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buka Airport
4,3,PG,BIALLA, PNG Ports Corporation Ltd. ,PO Box 671 Port Moresby Papua New Guinea, 321 1400 , 321 2440 ,,- 5 17 20 S ,151 3 17 E,-5.288888888888889,151.05," Pier, Jetty or Wharf ", Small ,,126.0,82215,,, Very Small , Fair ,, Coastal Natural ,,,,,,,,1.0,,41 - 45 ft,Yes,Yes,No,No,,,,,,,,,,,,,,,,No,Yes,,,,Kimbe Hoskins Airport
5,4,PG,BUKA, PNG Ports Corporation Ltd. ,PO Box 671 Port Moresby Papua New Guinea, 321 1400 , 321 2440 ,,- 5 25 59 S ,154 40 0 E,-5.433055555555557,154.66666666666666," Pier, Jetty or Wharf ", Very Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buka Airport
6,5,PG,DARU, PNG Ports Corporation Ltd. ,PO Box 671 Port Moresby Papua New Guinea, 321 1400 , 321 2440 ,,- 8 58 47 S ,143 11 59 E,-8.979722222222222,143.18333333333334," Pier, Jetty or Wharf ", Very Small ,Yes,164.0,73552,,Yes, Very Small , Fair ,, Coastal Natural ,,,No,Yes,No,31 - 35 ft, 6 - 10 feet 1.8 - 3 meters ,4.0,26 - 30 ft,,No,No,No,No,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,Yes,Yes, Emergency Only ,,,Mount Hagen Airport
7,22,PG,DISCOVERY BAY,,,,,,-10 25 S,150 25 E,-10.416666666666666,150.41666666666666,,,,164.0,73601,,,Very Small,Good,,Coastal Natural,,,,,,36 - 40 ft,36 - 40 ft,4.0,76 - over ft,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,Emergency only,,,Gurney Airport
8,24,PG,HAMBURG HARBOR,,,,,,-1 38 S,149 58 E,-1.6333333333333333,149.96666666666667,,,,126.0,82005,,,Very Small,Fair,less than 500 feet,Coastal Natural,,,No,,No,41 - 45 ft,26 - 30 ft,2.0,51 - 55 ft,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Kavieng Airport
9,6,PG,KAVIENG, PNG Ports Corporation Ltd. ,PO Box 671 Port Moresby Papua New Guinea, 321 1400 , 321 2440 ,,- 2 34 59 S ,150 48 0 E,-2.583055555555555,150.8," Pier, Jetty or Wharf ", Very Small ,Yes,,,,Yes, Very Small , Excellent , Over 500 feet in length , Coastal Natural ,Yes,Yes,No,,No,41 - 45 ft,21 - 25 ft,4.0,46 - 50 ft,,No,Yes,No,No,Yes,,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes, None ,Up to 200 tons,,Kavieng Airport
