,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,PH,AMUNITAN/APARRI,,,,,, 18 11 24 N ,122 1 48 E,18.183333333333334,122.01666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Lallo Airport
1,PH,"APARRI, LUZON",,,,,, 18 18 52 N ,121 39 20 E,18.3,121.65,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Lallo Airport
2,PH,ATIMONAN,,,,,, 13 59 2 N ,121 54 59 E,13.983333333333333,121.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Alabat Community Airport Airport
3,PH,BACOLOD,,,,,, 10 42 56 N ,122 57 40 E,10.7,122.95,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bacolod Principal Airport
4,PH,"BACOLOD, NEGROS",,,,,, 10 38 3 N ,122 56 19 E,10.633333333333333,122.93333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bacolod Principal Airport
5,PH,BASCO,,,,,, 20 27 28 N ,121 59 50 E,20.45,121.98333333333332,,,No,162.0,91160,Yes,Yes,Very Small,Fair,less than 500 feet,Coastal Natural,,Yes,Yes,,Yes,36 - 40 ft,11 - 15 ft,2.0,76 - over ft,,No,,,,,Yes,Yes,,,,,,,,,,No,,,Yes,,Emergency only,,,Basco Principal Airport
6,PH,"BASILAN CITY, BASILAN",,,,,, 6 41 1 N ,121 59 38 E,6.683333333333334,121.98333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Zamboanga Principal Airport
7,PH,"BATAAN, MARIVELES",,,,,, 14 35 30 N ,120 34 41 E,14.583333333333336,120.56666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sangley Airport
8,PH,"BATANGAS, LUZON",,,,,, 13 46 12 N ,121 2 30 E,13.766666666666667,121.03333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Fernando Airport
9,PH,"BISLIG, MINDANAO",,,,,, 8 16 35 N ,126 20 40 E,8.266666666666667,126.33333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bislig Community Airport
10,PH,BUGO,,Bugo Philippines,,,, 8 29 41 N ,124 45 20 E,8.483333333333333,124.75, Seaport , Small ,Yes,162.0,92290,,Yes, Very Small , Good , Up to 500 feet in length , Coastal Natural ,,Yes,,,,76 - over ft,31 - 35 ft,3.0,76 - over ft,26 - 30 ft,Yes,,,,Yes,,Yes,,,,,,,,,Yes,Yes,,,Yes,, Limited ,,,Cagayan De Oro Airport
11,PH,CADIZ,,,,,, 10 57 59 N ,123 16 59 E,10.95,123.26666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bacolod Principal Airport
