,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,SB,AOLA BAY, Hyundai Timber Co Ltd ,"PO Box 505 Honiara, Guadalcanal Island Solomon Islands", 677 23682 ,,,- 9 30 59 S ,160 29 5 E,-9.516388888888887,160.48333333333332," Pier, Jetty or Wharf ", Very Small ,,,,,Yes, Very Small , Good , Up to 500 feet in length , Open Roadstead ,,Yes,No,,No,36 - 40 ft, 6 - 10 feet 1.8 - 3 meters ,1.0,26 - 30 ft,,No,Yes,,,,,,,,,,,,Yes,,,No,No,,No,No,,,,Haimaru Airport
1,SB,GIZO, Gizo Port Authority ,"PO Box 36 Gizo, Western Prov Solomon Islands", 677 22588 ,,,- 8 5 39 S ,156 49 51 E,-8.094166666666668,156.81666666666666, Harbor , Small ,Yes,,,No,Yes, Very Small , Excellent , Over 500 feet in length , Coastal Natural ,Yes,Yes,No,,Yes,41 - 45 ft,16 - 20 ft,1.0,76 - over ft,,No,Yes,,,Yes,,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No, Limited ,Up to 200 tons,,Nusatupe Airport
2,SB,HONIARA,,,,,,- 9 26 15 S ,159 57 39 E,-9.4375,159.95,,,Yes,126.0,82377.0,No,Yes,Very Small,Good,over 500 feet,Open Roadstead,Yes,Yes,Yes,,Yes,26 - 30 ft,26 - 30 ft,1.0,56 - 60 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Limited,,,Honiara International Airport
3,SB,MALLOCO BAY,,,,,,- 7 34 59 S ,156 35 60 E,-7.583055555555554,156.58333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Vella La Vella Airport
4,SB,NORO,,,,,,- 8 12 56 S ,157 12 41 E,-8.215555555555557,157.2,,,,126.0,82304.0,,Yes,Small,Fair,over 500 feet,Open Roadstead,Yes,,,,,76 - over ft,26 - 30 ft,0.0,76 - over ft,,,Yes,No,No,,Yes,,,,,,,,,,Yes,No,No,,No,No,,,,Munda Airport
5,SB,PAKERA POINT,,,,,,- 10 24 58 S ,161 47 20 E,-10.416111111111112,161.78333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Kirakira Airport
6,SB,RINGI COVE,,,,,,- 8 7 0 S ,157 5 60 E,-8.116666666666667,157.08333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Ringicove Airport
7,SB,SHORTLAND HARBOUR, Solomon Islands Ports Authority ,"PO Box 307 Honiara, Guadalcanal Island Solomon Islands", 677 22646 , 677 23994 , ports@solomon.com.sb ,- 7 4 0 S ,155 52 0 E,-7.066666666666666,155.86666666666667," Pier, Jetty or Wharf ", Very Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ballalae Airport
8,SB,TULAGI,,,,,,- 9 5 30 S ,160 10 14 E,-9.091666666666667,160.16666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Honiara International Airport
9,SB,VIRU HARBOUR, Eagon Resources Development Company ,Solomon Islands, 677 39922 , 677 21434 ,,- 8 30 0 S ,157 43 0 E,-8.5,157.71666666666667, Harbor , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viru Harbour Airport
10,SB,YANDINA,,,,,,- 9 4 4 S ,159 13 20 E,-9.067777777777778,159.21666666666667,,,Yes,126.0,82384.0,,,Very Small,Good,less than 500 feet,Coastal Natural,,Yes,No,,No,76 - over ft,21 - 25 ft,1.0,76 - over ft,,No,Yes,No,No,,Yes,Yes,,,,,,,,,Yes,Yes,No,No,Yes,Yes,Limited,,,Russell Islands Airport
11,SB,RINGGI COVE,,,,,,-8 7 S,157 6 E,-8.116666666666667,157.1,,,Yes,126.0,82304.0,No,,Small,Fair,less than 500 feet,Coastal Natural,Yes,Yes,No,,No,76 - over ft,26 - 30 ft,1.0,,,,No,,,,,,Yes,,,,,,,,Yes,,Yes,,,,,,,Ringicove Airport
12,SB,TULAGHI,,,,,,-9 6 S,160 9 E,-9.1,160.15,,,No,126.0,82377.0,,Yes,Very Small,Good,less than 500 feet,Coastal Natural,Yes,Yes,No,,No,76 - over ft,6 - 10 ft,1.0,76 - over ft,,,Yes,,,,,,,,,,,,,,No,No,No,Yes,No,No,Limited,Up to 200 tons,,Honiara International Airport
