,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestCOneThirtyCSeventeen
0,31,KR,CHEJU HANG,,,,,,33 31 N,126 32 E,33.516666666666666,126.53333333333332,,,Yes,157.0,95103,,Yes,Small,Good,less than 500 feet,Coastal Breakwater,,No,Yes,No,,26 - 30 ft,36 - 40 ft,2.0,21 - 25 ft,26 - 30 ft,No,Yes,Yes,,Yes,,,,,,,,,,,Yes,,Yes,,Yes,,Limited,Up to 200 tons,Up to 656 ft,Jeju International Airport
1,33,KR,CHINAE,,,,,,35 8 N,128 39 E,35.13333333333333,128.65,,,,157.0,95147,,Yes,Small,Fair,less than 500 feet,Coastal Natural,Yes,Yes,,Yes,Yes,31 - 35 ft,11 - 15 ft,1.0,51 - 55 ft,,No,,Yes,,,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,,,Up to 656 ft,Jinhae Airport
2,0,KR,DAEPORI,,,,,, 38 10 11 N ,128 36 4 E,38.16666666666666,128.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sokcho Airport
3,1,KR,DAESAN,,,,,, 36 59 29 N ,126 21 9 E,36.98333333333333,126.35,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Seosan Airport
4,28,KR,DAESAN HANG,,,,,,37 1 N,126 24 E,37.016666666666666,126.4,,,,157.0,95066,,Yes,Very Small,Fair,,Open Roadstead,,,Yes,,Yes,66 - 70 ft,51 - 55 ft,1.0,76 - over ft,26 - 30 ft,,Yes,Yes,,Yes,,,Yes,,,,Yes,Yes,,,,Yes,Yes,,Yes,,None,,,Seosan Airport
5,2,KR,DONGHAE,,,,,, 37 17 24 N ,129 4 11 E,37.28333333333333,129.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Gangneung Airport
6,3,KR,GWANGYANG,,,,,, 34 33 36 N ,127 25 11 E,34.55,127.41666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yeosu Airport
7,32,KR,GWANGYANG HANG,,,,,,34 51 N,127 48 E,34.85,127.8,,,Yes,157.0,95136,,Yes,Medium,Good,over 500 feet,Coastal Natural,,Yes,No,No,No,66 - 70 ft,71 - 75 ft,4.0,46 - 51 ft,76 - over ft,Yes,Yes,,,,,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,Yes,Moderate,,657 ft to 984 ft,Yeosu Airport
8,4,KR,INCHEON,,,,,, 37 28 50 N ,126 37 14 E,37.46666666666667,126.61666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Incheon International Airport
9,27,KR,INCHON,,,,,,37 28 N,126 37 E,37.46666666666667,126.61666666666666,,,Yes,157.0,95067,No,Yes,Large,Good,less than 500 feet,RIVER BASIN,Yes,Yes,Yes,,Yes,36 - 40 ft,31 - 35 ft,9.0,76 - over ft,76 - over ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,"201 to 1,000 tons",Up to 656 ft,Incheon International Airport
