,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,28,TH,BANG SAPHAN,,,,,,11 11 N,99 36 E,11.183333333333335,99.6,,,,161.0,93220,No,Yes,Very Small,Fair,less than 500 feet,Coastal Natural,Yes,,,,,46 - 51 ft,26 - 30 ft,3.0,56 - 60 ft,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Limited,,,Chumphon Airport
1,0,TH,BANGKOK, Port Authority of Thiland ,Bangkok Thailand, 2249 7878 ,, patonline@port.co.th , 13 41 48 N ,100 30 20 E,13.683333333333335,100.5, Seaport , Medium ,Yes,161.0,93240/2,Yes,Yes, Large , Good , Over 500 feet in length , River Natural ,Yes,,Yes,Yes,No,26 - 30 ft,21 - 25 ft,2.0,26 - 30 ft,16 - 20 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, Limited ,,Up to 656 ft,Suvarnabhumi International Airport
2,1,TH,BANGPAKONG,,,,,, 13 30 56 N ,101 0 0 E,13.5,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Suvarnabhumi International Airport
3,2,TH,BENCHAMAS TERMINAL,,,,,, 10 31 0 N ,101 15 0 E,10.516666666666667,101.25,,,,,,,Yes,Very Small,Poor,over 500 feet,Open Roadstead,,,,,,,,1.0,76 - over ft,76 - over ft,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,Yes,No,No,,No,,None,,,Surat Thani Airport
4,3,TH,BONGKOT TERMINAL,,,,,, 13 31 22 N ,100 34 19 E,13.516666666666667,100.56666666666666,,,,161.0,93180,,No,Very Small,Poor,over 500 feet,Open Roadstead,,Yes,,,,76 - over ft,,0.0,76 - over ft,76 - over ft,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,No,No,,No,No,None,,,Suvarnabhumi International Airport
5,4,TH,CHANTHABURI,,,,,, 12 34 59 N ,102 7 59 E,12.566666666666665,102.11666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Trat Airport
6,5,TH,CHONGNONSRI MARINE TERMINAL,,,,,, 13 40 20 N ,100 32 35 E,13.666666666666664,100.53333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Suvarnabhumi International Airport
7,6,TH,ERAWAN TERMINAL,,,,,, 7 44 49 N ,102 45 42 E,7.733333333333332,102.75,,,Yes,161.0,93200,,Yes,Very Small,Poor,over 500 feet,Open Roadstead,,,,,,76 - over ft,,0.0,76 - over ft,76 - over ft,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,,,,,,No,,No,No,None,,,Narathiwat Airport
8,7,TH,KANTANG, Marine Department of Thailand ,"1278 Yotha Road Taladnoi, Samphanthawong Bangkok 10100 Thailand", 2233-1311 , 2236-7248 , marine@md.go.th , 7 25 0 N ,99 31 0 E,7.416666666666668,99.51666666666668," Pier, Jetty or Wharf ", Small ,Yes,,,Yes,Yes, Very Small , Good ,, River Natural ,,,Yes,No,No, 6 - 10 feet 1.8 - 3 meters , 6 - 10 feet 1.8 - 3 meters ,,11 - 15 ft,16 - 20 ft,No,Yes,,,Yes,Yes,,,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes, Limited ,,,Trang Airport
9,8,TH,KHANOM, Marine Department of Thailand ,"1278 Yotha Road Taladnoi, Samphanthawong Bangkok 10100 Thailand", 2233-1311 , 2236-7248 , marine@md.go.th , 9 12 19 N ,99 51 41 E,9.2,99.85," Pier, Jetty or Wharf ", Small ,Yes,161.0,93200,,, Very Small , Fair ,, Coastal Natural ,,Yes,,,,31 - 35 ft,26 - 30 ft,0.0,41 - 45 ft,,No,Yes,Yes,,Yes,,,,,,,,,,,,,,,,, Limited ,,,Surat Thani Airport
