,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize
0,GB,ABERDEEN,,,,,, 57 6 32 N ,-2 4 0 W,57.1,-2.066666666666667,,,Yes,141.0,35013,No,Yes,Medium,Good,over 500 feet,RIVER BASIN,,Yes,Yes,Yes,No,16 - 20 ft,31 - 35 ft,4,31 - 35 ft,21 - 25 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Limited,,Up to 656 ft
1,GB,ABERDOVEY,,,,,, 52 32 60 N ,-4 2 60 W,52.53333333333333,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
2,GB,ABOYNE,,,,,, 57 2 60 N ,-2 30 0 W,57.03333333333333,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
3,GB,ALEXANDRIA,,,,,, 55 35 24 N ,-4 21 36 W,55.583333333333336,-4.359999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
4,GB,ANNALONG,,,,,, 54 3 36 N ,-5 32 23 W,54.05,-5.539722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
5,GB,ANNAN,,,,,, 54 35 24 N ,-3 9 36 W,54.583333333333336,-3.1599999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
6,GB,ANSTRUTHER,,,,,, 56 7 48 N ,-2 25 11 W,56.11666666666667,-2.419722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
7,GB,APPLEDORE, Appledore Port Authority ,"Port Office Appledore, Devon United Kingdom",,,, 51 1 48 N ,-4 7 12 W,51.016666666666666,-4.119999999999999, Harbor , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GB,ARBROATH, Arbroath Port Authority ,Harbour Office Angus Council Arbroath D D11 1 P D United Kingdom, 44 1241 872166 , 44 1241 878472 , harbourmaster@arbroathharbour.sol.co.uk , 56 33 13 N ,-2 35 14 W,56.55,-2.5872222222222225, Harbor , Small ,Yes,,,No,Yes, Small , Good , Up to 500 feet in length , Coastal Breakwater ,,Yes,Yes,Yes,Yes, 0 - 5 feet 0 - 1.5 meters ,11 - 15 ft,4,26 - 30 ft,,No,,Yes,No,,Yes,,,,,Yes,,,,,,Yes,Yes,,Yes,, Limited ,"201 to 1,000 tons",
9,GB,ARDGLASS,,,,,, 54 9 35 N ,-5 22 11 W,54.15,-5.369722222222221,,,No,142.0,36006,No,,Very Small,Poor,less than 500 feet,Coastal Natural,No,Yes,Yes,No,No,16 - 20 ft,6 - 10 ft,4,36 - 40 ft,,No,Yes,No,No,,Yes,,,,,,,,,,,Yes,,Yes,Yes,,Emergency only,,
