,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,0,VN,BA NGOI,,,,,, 11 55 7 N ,109 8 0 E,11.916666666666664,109.13333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Cam Ranh International Airport
1,1,VN,BINH DUONG PORT,,,,,, 10 53 58 N ,106 50 18 E,10.883333333333333,106.83333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bien Hoa Aero Airport
2,2,VN,CAI LAN,,,,,, 21 15 0 N ,107 1 48 E,21.25,107.01666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Van Don International Airport
3,3,VN,CAI MEP,,,,,, 10 32 8 N ,107 0 4 E,10.533333333333333,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Tan Son Nhat International Airport
4,36,VN,CAM PHA,,,,,,21 2 N,107 22 E,21.033333333333328,107.36666666666666,,,Yes,161.0,93647.0,No,Yes,Very Small,Fair,less than 500 feet,Open Roadstead,Yes,Yes,Yes,Yes,No,21 - 25 ft,31 - 35 ft,4.0,31 - 35 ft,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Limited,,Up to 656 ft,Van Don International Airport
5,4,VN,CAMPHA, TKV Port and Coal Trading Company ,"Ly Thuong Kiet Str Cua Ong ward Cam Pha town, Quang Hinh Vietnam", 08433.865045 , 08433.865320 , campha_port@vnn.vn , 21 1 0 N ,107 20 60 E,21.016666666666666,107.33333333333331," Pier, Jetty or Wharf ", Small ,Yes,,,No,Yes, Small , Fair , Up to 500 feet in length , Coastal Natural ,Yes,Yes,Yes,Yes,No,21 - 25 ft,16 - 20 ft,4.0,16 - 20 ft,,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,,Yes,,Yes,Yes,,,Yes,, Limited ,,Up to 656 ft,Van Don International Airport
6,5,VN,CAN THO,,,,,, 10 2 14 N ,105 47 14 E,10.033333333333333,105.78333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Can Tho International Airport
7,27,VN,CAT LAI,,,,,,10 45 N,106 47 E,10.75,106.78333333333332,,,,161.0,93406.0,,,Very Small,Fair,less than 500 feet,Coastal Natural,,,,,,26 - 30 ft,31 - 35 ft,3.0,16 - 20 ft,31 - 35 ft,,Yes,,,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,Tan Son Nhat International Airport
8,8,VN,DA NANG,,,,,, 0 0 0 N ,0 0 0 E,0.0,0.0,,,Yes,161.0,93512.0,No,Yes,Small,Fair,less than 500 feet,River Natural,Yes,Yes,Yes,Yes,Yes,41 - 45 ft,36 - 40 ft,1.0,51 - 55 ft,41 - 45 ft,Yes,,Yes,No,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Limited,Up to 200 tons,,Kien Giang Phu Quoc Airport
9,31,VN,DAI HANG,,,,,,8 29 N,108 41 E,8.483333333333333,108.68333333333334,,,Yes,161.0,93020.0,,,Very Small,Poor,less than 500 feet,Open Roadstead,,,Yes,Yes,Yes,,,2.0,,76 - over ft,Yes,Yes,,,,,,Yes,,,,,,,,,,Yes,,Yes,,Limited,,,Vung Tau Con Son Airport
